IDA	IDB	neighborhood	fusion	cooccurence	coexpression	textmining	score	Label
YDR027C	YDR054C	0	0	0	0	0	0.029217	negative
YAL043C	YML094W	0	0	0	0	0	0.145965	negative
YGL099W	YPL129W	0	0	0	0	0	0.096973	negative
YAL034C	YDL083C	0	0	0	0	0	0.001454	negative
YLR355C	YNL138W	0	0	0	0	0	0.003939	negative
YDR127W	YLR180W	328	0	0	0	558	0.257900	positive
YJL034W	YMR230W	0	0	0	0	0	-0.008187	negative
YDR127W	YDR214W	0	0	0	0	0	0.230905	positive
YBR112C	YGR027C	0	0	0	0	0	0.028254	negative
YGL030W	YOL096C	0	0	0	0	0	-0.005993	negative
YCR031C	YOR142W	0	0	0	0	0	-0.007719	negative
YMR072W	YOR035C	0	0	0	0	0	-0.005317	negative
YBR195C	YHR075C	0	0	0	0	0	0.118233	negative
YDR129C	YDR381W	0	0	0	0	0	0.208950	negative
YDR148C	YNL002C	0	0	0	74	126	0.743532	negative
YCR031C	YDR148C	0	0	0	0	0	-0.003401	negative
YDR221W	YOR181W	0	0	0	0	0	0.365628	negative
YJL140W	YNL071W	0	0	0	0	0	0.321274	negative
YDL055C	YFR033C	0	0	0	0	0	-0.006861	negative
YPL220W	YPL271W	0	0	0	0	0	-0.002453	negative
YNR035C	YOR272W	0	0	0	0	0	0.105757	negative
YFR010W	YGR232W	0	0	0	0	623	0.024389	positive
YFR010W	YNL230C	0	0	0	0	0	-0.000974	negative
YLR002C	YLR295C	0	0	0	0	0	0.138411	negative
YDR335W	YOR261C	0	0	0	0	118	0.161018	negative
YER025W	YPR182W	0	0	0	0	0	0.023926	negative
YKL039W	YOR230W	0	0	0	0	0	0.147201	negative
YDR180W	YJR014W	0	0	0	0	0	0.115667	negative
YDR418W	YMR224C	0	0	0	0	0	0.008819	negative
YHR186C	YOR375C	0	0	0	0	0	0.091909	negative
YCR072C	YPL160W	0	0	0	0	0	0.131208	negative
YGR186W	YHR075C	0	0	0	0	0	0.033824	negative
YBL050W	YGR155W	0	0	0	0	0	0.014691	negative
YAL026C	YGR275W	0	0	0	0	0	0.095140	negative
YCL014W	YHR098C	0	0	0	0	0	0.700726	negative
YMR314W	YOL038W	0	0	65	917	118	0.773267	positive
YDR074W	YDR502C	0	0	0	0	0	0.027796	negative
YGL098W	YHR069C	0	0	0	0	0	0.065880	negative
YDR074W	YEL051W	0	0	0	0	0	-0.012120	negative
YFR030W	YGL058W	0	0	0	0	0	0.009387	negative
YAL044C	YPR016C	0	0	0	0	0	0.270488	negative
YAL012W	YAL044C	0	0	0	66	128	-0.012307	negative
YKL028W	YMR143W	0	0	0	0	0	-0.009217	negative
YDL083C	YDL185W	0	0	0	0	0	-0.016118	negative
YLR333C	YMR005W	0	0	0	0	0	-0.009735	negative
YGL106W	YPR035W	0	0	0	0	0	0.433005	negative
YGR238C	YMR038C	0	0	0	0	0	-0.012314	negative
YDR363W-A	YIL075C	0	0	0	0	0	-0.006119	positive
YBL075C	YCL037C	0	0	0	0	294	-0.020239	positive
YGR193C	YNL071W	0	0	144	0	305	0.436275	positive
YJL014W	YML075C	0	0	0	0	0	0.217956	negative
YGR135W	YMR314W	0	0	77	863	112	0.744351	positive
YJR007W	YML127W	0	0	0	0	0	0.234228	negative
YEL051W	YML010W	0	0	0	0	0	0.223488	negative
YBR135W	YOR187W	0	0	0	0	0	-0.004138	negative
YHR216W	YLR335W	0	0	0	0	0	0.314254	negative
YDR283C	YGR013W	0	0	0	0	0	-0.014722	negative
YEL051W	YOR189W	0	0	0	0	0	0.006405	negative
YER025W	YOR375C	0	0	0	0	0	-0.010486	negative
YIL026C	YMR309C	0	0	0	0	0	-0.013411	negative
YGR232W	YOL086C	0	0	0	0	0	-0.004455	negative
YEL055C	YMR297W	0	0	0	0	0	0.072348	negative
YBL047C	YIL094C	0	0	0	0	0	0.234549	negative
YIL125W	YJL080C	0	0	0	0	0	0.564530	negative
YGR192C	YIL075C	0	0	0	0	0	-0.014757	negative
YER012W	YML092C	0	0	0	999	857	0.768946	positive
YIR003W	YJL148W	0	0	0	0	0	0.036403	negative
YDR439W	YHR208W	0	0	0	0	0	-0.007841	negative
YKL085W	YLR304C	194	0	0	477	903	0.164524	positive
YBL050W	YDL082W	0	0	0	0	0	0.326292	negative
YDR032C	YDR173C	0	0	0	0	0	0.069850	negative
YER025W	YOL086C	0	0	0	0	0	0.024247	negative
YKL080W	YPL061W	0	0	0	0	0	0.454010	negative
YBR234C	YDL140C	0	0	0	0	0	0.120196	negative
YDR019C	YPR043W	0	0	0	0	0	-0.008013	negative
YHR039C-A	YJL208C	0	0	0	0	0	0.779979	negative
YDR308C	YOR181W	0	0	0	0	0	0.256369	negative
YNL244C	YPL237W	0	0	0	336	926	0.017001	positive
YER122C	YGL147C	0	0	0	0	0	0.166825	negative
YJR045C	YNR035C	0	0	0	0	0	0.171624	negative
YJL148W	YOL076W	0	0	0	0	0	0.236935	negative
YDR429C	YPL011C	0	0	0	0	0	0.235885	negative
YDL145C	YGL207W	0	0	0	0	0	0.016348	negative
YGR238C	YPR180W	0	0	0	0	0	0.134331	negative
YDL143W	YDR188W	0	0	0	944	226	0.211329	positive
YBR279W	YMR108W	0	0	0	0	0	0.241709	negative
YDR346C	YPR118W	0	0	0	0	0	0.429404	positive
YAR003W	YBR115C	0	0	0	0	0	0.436392	negative
YMR091C	YMR108W	0	0	0	0	0	0.221465	negative
YJL190C	YMR205C	0	0	0	0	0	-0.018657	positive
YML028W	YOR272W	0	0	0	0	0	0.165552	negative
YGL187C	YMR116C	0	0	0	0	0	0.004753	negative
YGL061C	YPR041W	0	0	0	0	0	-0.018372	negative
YGR162W	YOR207C	0	0	0	605	0	-0.008827	negative
YER089C	YFL018C	0	0	0	0	0	0.023289	negative
YDL181W	YGL030W	0	0	0	0	0	-0.009346	negative
YGR078C	YJL034W	0	0	0	0	0	-0.006845	negative
YDR388W	YJL066C	0	0	0	0	156	0.146434	negative
YHL030W	YLR421C	0	0	0	0	663	0.027776	positive
YOR232W	YPL237W	0	0	0	283	0	0.157002	negative
YKL142W	YKR066C	0	0	0	0	0	-0.018133	positive
YDR054C	YML072C	0	0	0	0	0	0.038063	negative
YER090W	YJL033W	0	0	0	0	0	0.131535	negative
YAL003W	YKL007W	0	0	0	0	0	-0.008389	negative
YDR044W	YDR283C	0	0	0	0	0	0.529015	negative
YBR263W	YMR242C	0	0	0	0	0	-0.015748	negative
YGL087C	YIL125W	0	0	0	0	0	0.024586	negative
YCL011C	YMR083W	0	0	0	0	571	-0.012732	negative
YBR118W	YPL048W	0	0	0	407	852	0.019777	positive
YGR061C	YMR260C	0	0	0	0	0	0.082797	negative
YAL034C	YCR031C	0	0	0	0	0	0.003767	negative
YBR084C-A	YDR308C	0	0	0	0	0	0.019565	negative
YDL201W	YOR281C	0	0	0	0	0	0.050669	negative
YFR050C	YMR314W	0	0	0	911	558	0.582186	positive
YBL041W	YDR407C	0	0	0	0	0	-0.003849	negative
YGR232W	YOR261C	0	0	0	0	656	0.121216	positive
YDR027C	YPL048W	0	0	0	0	0	0.089629	negative
YDR028C	YPR176C	0	0	0	0	0	0.005079	negative
YMR309C	YOR361C	0	0	0	964	781	0.223798	positive
YDL074C	YDR233C	0	0	0	0	0	0.001118	negative
YMR146C	YMR309C	0	0	0	543	863	0.000390	positive
YGR162W	YHL034C	0	0	0	0	0	0.016634	positive
YJL041W	YPR041W	0	0	0	0	0	0.032606	negative
YAL026C	YPL090C	0	0	0	0	0	-0.009556	negative
YJL020C	YPL254W	0	0	0	0	0	0.113557	negative
