@RELATION COFrac
@Attribute neighborhood NUMERIC
@Attribute fusion NUMERIC
@Attribute cooccurence NUMERIC
@Attribute coexpression NUMERIC
@Attribute textmining NUMERIC
@Attribute score NUMERIC
@ATTRIBUTE class {positive, negative}
@DATA
0,56,0,972,963,-0.023216,positive
0,0,0,112,120,-0.006676,negative
0,0,0,0,0,0.141123,negative
0,0,0,0,0,-0.000536,negative
0,0,0,0,0,-0.010518,negative
0,0,0,0,0,0.112587,negative
0,0,0,0,0,0.032734,negative
0,0,0,0,0,0.013620,negative
0,0,0,0,0,0.011816,negative
0,0,0,118,756,0.129812,positive
0,0,0,0,0,0.038673,negative
0,0,0,0,0,0.095633,negative
0,0,0,0,0,0.043004,negative
0,0,0,505,728,0.044151,positive
0,0,0,0,0,-0.004749,negative
0,0,0,0,0,-0.007128,negative
0,0,0,401,143,-0.004446,negative
0,0,0,0,0,0.003229,negative
0,0,0,0,0,0.320176,negative
0,0,0,0,0,0.023446,negative
0,0,0,151,0,0.340525,negative
0,0,0,0,0,0.003856,negative
0,0,0,0,0,0.431012,negative
0,0,0,256,149,0.760774,positive
0,0,0,0,0,0.038971,negative
0,0,0,0,0,0.028072,negative
0,0,0,0,412,-0.015149,positive
0,0,0,0,0,-0.009790,negative
0,0,0,0,0,0.040339,negative
0,0,0,0,0,0.004235,negative
0,0,0,0,0,0.583235,negative
0,0,0,0,0,0.677359,positive
0,0,0,0,0,-0.006142,negative
0,0,0,0,738,0.071793,positive
0,0,0,0,0,0.104551,negative
75,0,0,140,199,0.093964,negative
0,0,0,0,0,0.038851,negative
0,0,0,0,0,0.059291,negative
0,0,0,0,0,-0.006215,negative
0,0,0,0,0,-0.001578,negative
0,0,0,0,0,0.405745,negative
0,0,0,0,0,0.029217,negative
0,0,0,0,0,0.145965,negative
0,0,0,0,0,0.096973,negative
0,0,0,0,0,0.001454,negative
0,0,0,0,0,0.003939,negative
328,0,0,0,558,0.257900,positive
0,0,0,0,0,-0.008187,negative
0,0,0,0,0,0.230905,positive
0,0,0,0,0,0.028254,negative
0,0,0,0,0,-0.005993,negative
0,0,0,0,0,-0.007719,negative
0,0,0,0,0,-0.005317,negative
0,0,0,0,0,0.118233,negative
0,0,0,0,0,0.208950,negative
0,0,0,74,126,0.743532,negative
0,0,0,0,0,-0.003401,negative
0,0,0,0,0,0.365628,negative
0,0,0,0,0,0.321274,negative
0,0,0,0,0,-0.006861,negative
0,0,0,0,0,-0.002453,negative
0,0,0,0,0,0.105757,negative
0,0,0,0,623,0.024389,positive
0,0,0,0,0,-0.000974,negative
0,0,0,0,0,0.138411,negative
0,0,0,0,118,0.161018,negative
0,0,0,0,0,0.023926,negative
0,0,0,0,0,0.147201,negative
0,0,0,0,0,0.115667,negative
0,0,0,0,0,0.008819,negative
0,0,0,0,0,0.091909,negative
0,0,0,0,0,0.131208,negative
