russel_U1 snRNP	LUC7
YBR065C	russel_Prp19-associated complex
YLL036C	russel_Prp19-associated complex
YAL032C	russel_Prp19-associated complex
YPL151C	russel_Prp19-associated complex
YDR416W	russel_Prp19-associated complex
YDR448W	russel_SAGA complex
YPL254W	russel_SAGA complex
YDR176W	russel_SAGA complex
YCL010C	russel_SAGA complex
YGL066W	russel_SAGA complex
YOL148C	russel_SAGA complex
YDR392W	russel_SAGA complex
YBR081C	russel_SAGA complex
YLR055C	russel_SAGA complex
YLR347C	russel_Karyopherins complex
YLR335W	russel_Karyopherins complex
YAR002W	russel_Karyopherins complex
YNL189W	russel_Karyopherins complex
YLR310C	russel_Sit4/Sap185 protein phosphatase complex
YOR267C	russel_Sit4/Sap185 protein phosphatase complex
YGL197W	russel_Sit4/Sap185 protein phosphatase complex
YJL098W	russel_Sit4/Sap185 protein phosphatase complex
YDL047W	russel_Sit4/Sap185 protein phosphatase complex
YKL057C	russel_Nup84 sub-complex
YGL092W	russel_Nup84 sub-complex
YDL116W	russel_Nup84 sub-complex
YJR042W	russel_Nup84 sub-complex
YLR208W	russel_Nup84 sub-complex
YGL100W	russel_Nup84 sub-complex
YDR172W	russel_Translational release factor complex
YBR143C	russel_Translational release factor complex
YNL071W	russel_Pyruvate dehydrogenase
YER178W	russel_Pyruvate dehydrogenase
YBR221C	russel_Pyruvate dehydrogenase
YGR193C	russel_Pyruvate dehydrogenase
YGL190C	russel_Complex 87
YJR138W	russel_Complex 87
YLR088W	russel_Complex 88
YBR196C	russel_Complex 88
YNR007C	russel_Complex 89
YOR160W	russel_Complex 89
YIL070C	russel_Complex 90
YGR165W	russel_Complex 90
YDL055C	russel_Complex 91
YDL145C	russel_COPI complex
YFR051C	russel_COPI complex
YPL010W	russel_COPI complex
YNL287W	russel_COPI complex
YDR238C	russel_COPI complex
YGL137W	russel_COPI complex
YIL076W	russel_COPI complex
YOR124C	russel_Complex 93
YOR138C	russel_Complex 93
YDR174W	russel_Complex 94
YKL007W	russel_Actin capping complex
YIL034C	russel_Actin capping complex
YIR003W	russel_Actin capping complex
YNL112W	russel_Gyp5/Gyl1 complex
YMR192W	russel_Gyp5/Gyl1 complex
YDL033C	russel_Complex 97
YGL039W	russel_Complex 97
YDL051W	russel_Complex 98
YDR395W	russel_Complex 98
YKR060W	russel_Complex 98
YJL036W	russel_Yeats nexin complex
YDR425W	russel_Yeats nexin complex
YHR169W	russel_Complex 101
YMR143W	russel_Complex 101
YDR432W	russel_Complex 102
YDL167C	russel_Complex 102
YIR001C	russel_Complex 103
YHR039C-A	russel_Complex 104
YBR127C	russel_Complex 104
YJL033W	russel_Complex 105
YDL167C	russel_Complex 105
YEL013W	russel_Complex 106
YHR121W	russel_Complex 107
YGR178C	russel_Complex 107
YPL154C	russel_Complex 108
YDR233C	russel_Complex 108
YDR394W	russel_Complex 109
YML124C	russel_Complex 109
YML117W	russel_Complex 110
YDL167C	russel_Complex 110
YEL036C	russel_Mannan Polymerase II
YJR075W	russel_Mannan Polymerase II
YDR245W	russel_Mannan Polymerase II
YJL183W	russel_Mannan Polymerase II
YPL050C	russel_Mannan Polymerase II
YNR050C	russel_Complex 112
YOR164C	russel_Complex 112
YNL258C	russel_SNARE complex
YLR440C	russel_SNARE complex
YGL145W	russel_SNARE complex
YOR075W	russel_SNARE complex
YGL098W	russel_SNARE complex
YJL034W	russel_Golgi associated retrograde protein  complex
YDR484W	russel_Golgi associated retrograde protein  complex
YJL029C	russel_Golgi associated retrograde protein  complex
YDR027C	russel_Golgi associated retrograde protein  complex
YOR168W	russel_Complex 115
YIL143C	russel_Complex 115
YOR352W	russel_Complex 115
YAL034C	russel_Complex 116
YJR123W	russel_Complex 116
YGL031C	russel_Complex 117
YGR214W	russel_Complex 117
YLR304C	russel_Complex 118
YMR246W	russel_Complex 118
YML117W	russel_Complex 119
YER165W	russel_Complex 119
YBR102C	russel_Exocyst complex
YLR166C	russel_Exocyst complex
YER008C	russel_Exocyst complex
YDR166C	russel_Exocyst complex
YIL068C	russel_Exocyst complex
YPR055W	russel_Exocyst complex
YJL184W	russel_Complex 121
YKR038C	russel_Complex 121
YML036W	russel_Complex 121
YLR304C	russel_Complex 122
YKL085W	russel_Complex 122
YGR234W	russel_Complex 122
YDR300C	russel_Complex 123
YOR153W	russel_Complex 124
YML029W	russel_Complex 124
YPL143W	russel_Complex 125
YDL136W	russel_Complex 125
YLR449W	russel_Complex 126
YLL034C	russel_Complex 126
YMR242C	russel_Complex 126
YLR005W	russel_Nucleotide excision repair factor 3 complex
YDR311W	russel_Nucleotide excision repair factor 3 complex
YPR056W	russel_Nucleotide excision repair factor 3 complex
YKL172W	russel_Complex 128
YER139C	russel_Complex 128
YKL081W	russel_Complex 129
YBR039W	russel_Complex 130
YDR168W	russel_Complex 130
