ORF	Complex
YOR159C	commitment complex
YFL017W-A	commitment complex
YPR182W	commitment complex
YDL087C	commitment complex
YBR119W	commitment complex
YHR086W	commitment complex
YML046W	commitment complex
YKL012W	commitment complex
YDR235W	commitment complex
YIL061C	commitment complex
YDR240C	commitment complex
YGR013W	commitment complex
YLR298C	commitment complex
YPR144C	Noc4p/Nop14p complex
YDL148C	Noc4p/Nop14p complex
YPL049C	Dig1p/Ste12p/Dig2p complex
YDR480W	Dig1p/Ste12p/Dig2p complex
YHR084W	Dig1p/Ste12p/Dig2p complex
YBR228W	Slx1p/Slx4p complex
YLR135W	Slx1p/Slx4p complex
YBL026W	U6 snRNP complex
YLR438C-A	U6 snRNP complex
YER112W	U6 snRNP complex
YER146W	U6 snRNP complex
YDR378C	U6 snRNP complex
YNL147W	U6 snRNP complex
YJR022W	U6 snRNP complex
YMR268C	U6 snRNP complex
YDR075W	histone H2A phosphatase complex
YNL201C	histone H2A phosphatase complex
YBL046W	histone H2A phosphatase complex
YAL010C	Mdm12p/Mmm1p/Mdm10p complex
YOL009C	Mdm12p/Mmm1p/Mdm10p complex
YLL006W	Mdm12p/Mmm1p/Mdm10p complex
YML085C	Tubulins
YFL037W	Tubulins
YMR055C	Bub2p/Bfa1p complex
YJR053W	Bub2p/Bfa1p complex
YNL102W	alpha DNA polymerase:primase complex
YBL035C	alpha DNA polymerase:primase complex
YIR008C	alpha DNA polymerase:primase complex
YKL045W	alpha DNA polymerase:primase complex
YDR301W	mRNA cleavage and polyadenylation specificity factor complex
YLR115W	mRNA cleavage and polyadenylation specificity factor complex
YJR093C	mRNA cleavage and polyadenylation specificity factor complex
YER133W	mRNA cleavage and polyadenylation specificity factor complex
YKL059C	mRNA cleavage and polyadenylation specificity factor complex
YKR002W	mRNA cleavage and polyadenylation specificity factor complex
YNL317W	mRNA cleavage and polyadenylation specificity factor complex
YAL043C	mRNA cleavage and polyadenylation specificity factor complex
YGR156W	mRNA cleavage and polyadenylation specificity factor complex
YDR195W	mRNA cleavage and polyadenylation specificity factor complex
YNL222W	mRNA cleavage and polyadenylation specificity factor complex
YKL018W	mRNA cleavage and polyadenylation specificity factor complex
YOR179C	mRNA cleavage and polyadenylation specificity factor complex
YLR277C	mRNA cleavage and polyadenylation specificity factor complex
YPR107C	mRNA cleavage and polyadenylation specificity factor complex
YJR094C	Ume6p/Ime1p complex
YDR207C	Ume6p/Ime1p complex
YDL042C	chromatin silencing complex
YLR442C	chromatin silencing complex
YDR227W	chromatin silencing complex
YHR005C-A	mitochondrial intermembrane space protein transporter complex
YEL020W-A	mitochondrial intermembrane space protein transporter complex
YOR026W	mitotic checkpoint complex
YGL116W	mitotic checkpoint complex
YJL030W	mitotic checkpoint complex
YJL013C	mitotic checkpoint complex
