complexID	ORF
complex_9	CBF2
complex_9	IWR1
complex_9	RPB9
complex_9	YBR259W
complex_9	RPB11
complex_9	FYV11
complex_9	YBL059W
complex_9	RPB7
complex_9	SPT4
complex_9	TAF30
complex_9	TFG2
complex_9	TFG1
complex_9	RPB5
complex_9	DST1
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_9	
complex_10	RSC2
complex_10	STH1
complex_10	APG16
complex_10	HTL1
complex_10	PCL9
complex_10	YDR520C
complex_10	RSC58
complex_10	YIL177C
complex_10	ARP7
complex_10	YBR161W
complex_10	NPL6
complex_10	RSC8
complex_10	GRS2
complex_10	SFH1
complex_10	RSC3
complex_10	ARP9
complex_10	RTT102
complex_10	YCL044C
complex_10	RSC4
complex_10	RSC1
complex_10	NFI1
complex_10	RSC9
complex_10	RIM15
complex_10	RSC6
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_10	
complex_11	YGR272C
complex_11	YRF11
complex_11	YGR271C-A
complex_11	SFA1
complex_11	NOP8
complex_11	HAS1
complex_11	DBP6
complex_11	YMR034C
complex_11	RRP5
complex_11	MAK21
complex_11	NOC2
complex_11	SSQ1
complex_11	PUS7
complex_11	RSA3
complex_11	BUD22
complex_11	NOB1
complex_11	NOC3
complex_11	FRE3
complex_11	SBP1
complex_11	NOP2
complex_11	NOP1
complex_11	GIS2
complex_11	NIP7
complex_11	CIC1
complex_11	
complex_11	
complex_11	
complex_11	
