IDB	IDA
F53B3.1	C53A5.3
F53B3.3	C09H6.2
F53B3.3	C34F11.9
F53F4.11	F47A4.3
F53G12.4	C50F2.8
F54B11.3	B0303.7
F54B11.5	C01F6.6
F54B3.3	C25F6.2
F54C1.3	C09G4.5
F54C1.7	F42E11.4
F54C8.5	C09H6.2
F54C9.11	C09H6.2
F54C9.11	F19C7.8
F54D10.7	C34F11.9
F54D10.7	F32A5.6
F54D11.3	C52A11.4
F54D5.15	C26C6.8
F54D5.15	F49B2.5
F54E7.3	B0379.1
F54E7.3	C01A2.4
F54E7.3	C02F5.5
F54E7.3	C03A7.4
F54E7.3	C03A7.8
F54E7.3	C06E1.1
F54E7.3	C27A12.7
F54E7.3	C33D9.6
F54E7.3	C41C4.7
F54E7.3	C41G7.5
F54E7.3	D2096.2
F54E7.3	F09E5.1
F54E7.3	F17E9.5
F54E7.3	F20D1.1
F54E7.3	F37C4.5
F54E7.3	F47G4.2
F54E7.3	F52C6.3
F54E7.3	F53A10.2
F54E7.7	C47C12.3
F54F2.5	F32A5.6
F54F2.8	C56C10.8
F54F3.1	C09G1.4
F54G8.4	F49B2.5
F55A12.10	D1081.9
F55B12.3	C01F6.4
F55B12.3	F35D6.1
F55C7.7	C39F7.2
F55G11.2	F47A4.3
F56C3.9	B0303.7
F56C3.9	F18C5.4
F56C9.1	C03D6.6
F56C9.11	C03D6.6
F56D12.4	B0286.3
F56D12.4	B0547.1
F56D12.4	C26B2.3
F56D12.4	C42D8.2
F56D12.4	F25G6.9
F56D12.4	F29F11.1
F56D12.5	F17E5.1
F56D2.7	B0303.7
F56D2.7	C35B8.2
F56D3.1	F09E10.8
F56H11.1	C52A11.4
F56H11.1	F45E1.7
F57C9.5	C03D6.6
F57F4.3	F09E10.8
F57F4.3	F36A2.6
F57F4.4	F36A2.6
F57F5.1	C34G6.7
F57F5.1	F47A4.3
F57G12.2	C28H8.6
F58A3.1	F01D4.6
F58A3.1	F46C8.5
F58A3.2	F30A10.8
F58A4.3	F35G12.8
F58B4.2	F18C5.4
F58E6.5	C03D6.6
F58G6.1	B0286.3
F59A6.1	C33H5.9
F59A6.1	C38D4.6
F59B1.7	F31E3.1
F59B2.6	AH6.5
F59B2.6	F52E1.1
F59B2.7	F08C6.3
F59E12.4	F19B6.1
F59E12.9	C33B4.3
F59E12.9	F09E10.8
F59E12.9	F32A5.6
F59E12.9	F49B2.5
F59F5.6	C52E12.2
F59H6.10	F30F8.3
H02I12.5	B0303.7
H04M03.3	C27A2.6
H05G16.1	F42H10.3
H06A10.1	C45G9.7
H06H21.9	B0379.6
H06H21.9	C04E12.12
H06H21.9	C32D5.10
H06H21.9	C44C10.5
H06H21.9	C44E4.3
H06H21.9	F08D12.7
H06H21.9	F41D3.9
H06H21.9	F42G9.8
H06H21.9	F44C8.4
H06H21.9	F53F10.4
H06H21.9	F54D5.5
H06I04.1	C33B4.3
H09G03.2	F18A1.2
H14N18.1	F31E3.1
H19M22.2	C09D1.1
H19M22.2	C14F5.5
H21P03.3	F18C5.4
H22K11.1	C35B8.2
H22K11.1	F47A4.3
H28O16.1	F59A6.1
H40L08.1	F47A4.3
JC8.10	B0336.6
JC8.10	C35B8.2
JC8.3	C09H6.2
K01A6.2	B0207.4
K01A6.2	C08B6.9
K01A6.2	C18H9.7
K01A6.2	C23G10.3
K01A6.2	C34C6.6
K01A6.2	C48D5.1
K01A6.2	C53A5.1
K01A6.2	C56C10.1
K01A6.2	D1005.1
K01A6.2	DY3.2
K01A6.2	E02H9.8
K01A6.2	F01F1.3
K01A6.2	F08G12.8
K01A6.2	F10G8.8
K01A6.2	F23F1.8
K01A6.2	F25H2.10
K01A6.2	F28F5.3
K01A6.2	F33D4.1
K01A6.2	F33G12.5
K01A6.2	F39C12.2
K01A6.2	F46H5.2
K01A6.2	F54C9.5
K01A6.2	F54D10.7
K01C8.5	F28D1.10
K01C8.5	F43C1.2
K01C8.6	F17E5.1
K01D12.13	F52H2.5
K01D12.4	C27H5.2
K01D12.4	C52E4.1
K01G5.2	JC8.6
K02A4.2	F13D12.7
K02B12.4	C01B7.4
K02B12.4	C27A2.6
K02B12.4	C34F11.9
K02B12.4	C37A5.9
K02B12.4	C54D1.6
K02D7.1	F45E4.3
K04D7.1	C50D2.3
K04G2.6	F45E1.7
K04G7.4	C09H6.2
K04H4.1	F14F3.1
K04H4.2	C09H6.2
K04H4.2	F54E7.3
K04H4.2	K01A6.2
K05C4.6	K01A6.2
K06A4.5	C34F11.9
K06A4.5	C52A11.4
K06B4.6	F44D12.1
K07B1.6	K01A6.2
K07D4.7	C30B5.1
K07D4.7	C39D10.7
K07D4.7	F22E12.1
K07D4.7	F25B5.7
K07D4.7	F26G5.9
K07D4.7	F29F11.1
K07D4.7	F29G6.3
K07D4.7	F35B12.5
K07D4.7	F44D12.1
K07D4.7	JC8.10
K07D4.7	K04H4.1
K07G5.1	F49B2.5
K07H8.6	F47A4.3
K08B4.1	C06A6.2
K08D10.8	F59E12.4
K08E3.5	C33B4.3
K08E3.5	C34F11.9
K08E7.3	H39E23.1
K08F11.3	B0025.2
K08F11.3	B0547.1
K08F11.3	D2013.7
K08F8.2	C48E7.11
K08F8.2	F17A9.3
K08F8.2	K02F3.4
K08F8.4	C01F6.6
K08F8.4	C45G9.7
K08F8.4	F47A4.3
K08H2.2	C34G6.7
K09B11.5	C25F6.2
K09B11.9	B0261.4
K09B11.9	C47B2.3
K09B11.9	F30A10.8
K10B3.10	C01G12.1
K10B3.10	C07G1.4
K10B3.10	C08B11.5
K10B3.10	F29F11.1
K10B3.10	F47B10.2
K10B3.10	F48E3.9
K10B3.10	F59E12.9
K10B3.10	H19M22.2
K10B3.8	C35B1.1
K10D2.2	F02E9.2
K10D2.3	F26A3.3
K10D6.4	C07H6.7
K11D12.10	B0286.3
K11D12.10	C09H6.2
K11D12.10	C35B8.2
K11D12.2	F39H11.2
K11D12.9	C34G6.7
K11D9.1	F35G12.8
K11D9.2	C23G10.8
K11E4.4	C01G12.1
K11E4.4	C08B11.5
K11E4.4	F52C6.3
K11E4.4	F59E12.9
K11E8.1	C45G9.7
K11E8.1	F49B2.5
K11E8.1	F54E7.3
K12C11.2	C02C6.1
K12C11.2	C50E10.4
