Source	Windowsize	Entropy	Precision	Recall	Fmeasure	Auc_pr	Auc_roc
BNF	1	0.271760	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.274939	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.275995	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.282289	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.284373	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.286449	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.289549	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.293659	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.295703	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.295703	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.297740	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.310816	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.311811	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.315772	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.319707	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.328471	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.329437	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.340913	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.348448	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.349384	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.354040	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.356817	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.368712	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.375922	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.377712	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.396203	0.0	0.0	0.0	0.583333333333	0.5
BNF	1	0.409937	0.0	0.0	0.0	0.583333333333	0.5
BNF	10	0.099044	0.600806451613	0.553560371517	0.576216564615	0.614386713939	0.74
BNF	10	0.111058	0.580998781973	0.590712074303	0.585815167332	0.61996275528	0.752755417957
BNF	10	0.125620	0.570322580645	0.547368421053	0.558609794629	0.596564799095	0.732445820433
BNF	10	0.139771	0.602298850575	0.486687306502	0.538356164384	0.58726913633	0.711207430341
BNF	10	0.152775	0.605850654349	0.487306501548	0.540150995196	0.589303036153	0.711950464396
BNF	10	0.165577	0.607712765957	0.565944272446	0.586085283745	0.622999829831	0.746439628483
BNF	10	0.176308	0.573383084577	0.570897832817	0.572137759851	0.607898972629	0.742972136223
BNF	10	0.186246	0.573069559668	0.556037151703	0.564424890006	0.60155025971	0.736594427245
BNF	10	0.194973	0.572368421053	0.538699690402	0.555023923445	0.593975748194	0.729102167183
BNF	10	0.203104	0.548148148148	0.458204334365	0.49915682968	0.54832588006	0.69133126935
BNF	10	0.210104	0.560213414634	0.455108359133	0.502220703792	0.553068523623	0.691826625387
BNF	10	0.217657	0.559882439383	0.471826625387	0.512096774194	0.559868980269	0.698823529412
BNF	10	0.221537	0.526615969582	0.686068111455	0.595859101909	0.632503031231	0.781362229102
BNF	10	0.224075	0.526630164261	0.655108359133	0.583885209713	0.619610231769	0.76866873065
BNF	10	0.226614	0.525432098765	0.658823529412	0.584615384615	0.620559186638	0.769907120743
BNF	10	0.229147	0.559673832468	0.467492260062	0.509446693657	0.55795869126	0.696965944272
BNF	10	0.231445	0.546259050684	0.420433436533	0.475157452764	0.53164345723	0.675294117647
BNF	10	0.233845	0.564581640942	0.430340557276	0.488404778637	0.544932719336	0.681981424149
BNF	10	0.236342	0.570375829035	0.479256965944	0.520861372813	0.568211650327	0.703529411765
BNF	10	0.238938	0.56646971935	0.474922600619	0.516672280229	0.564452609933	0.701114551084
BNF	10	0.241409	0.554532577904	0.484829721362	0.517343904856	0.562612006186	0.70346749226
BNF	10	0.243851	0.552861952862	0.508359133127	0.529677419355	0.571580615234	0.71306501548
BNF	10	0.246293	0.548582995951	0.503405572755	0.525024216984	0.56737715329	0.710278637771
