NumFracs	NumPPIs	Precision	Recall	FM	auc_pr	auc_roc
100	6937349	0.364628820961	0.15293040293	0.215483870968	0.345179761394	0.542318287595
100	7023553	0.388560157791	0.180402930403	0.246404002502	0.368079526537	0.553825027745
100	7177941	0.430481283422	0.147435897436	0.219645293315	0.37591917328	0.548723815885
100	7025095	0.388157894737	0.162087912088	0.228682170543	0.360588997192	0.548305162334
100	7104282	0.353260869565	0.119047619048	0.178082191781	0.326010399733	0.531596093025
100	6855589	0.311926605505	0.124542124542	0.178010471204	0.307530087048	0.527068058281
100	7070226	0.375257731959	0.166666666667	0.230818008878	0.355961265257	0.547778299304
100	6934490	0.438478747204	0.179487179487	0.254710851202	0.392674351352	0.560290409739
100	7116646	0.34451901566	0.141025641026	0.200129954516	0.330386750162	0.53613121995
100	7116674	0.417721518987	0.181318681319	0.252873563218	0.383024677026	0.558272576989
100	7063109	0.437923250564	0.177655677656	0.252768729642	0.391667663251	0.559609345516
100	6839548	0.33072407045	0.154761904762	0.210854647536	0.328956325921	0.537249527833
100	7162380	0.511848341232	0.296703296703	0.375652173913	0.476011294402	0.612092554242
100	7080114	0.458563535912	0.228021978022	0.304587155963	0.422033649924	0.579512045101
100	7162579	0.339285714286	0.139194139194	0.197402597403	0.327041159693	0.534863438994
100	7051770	0.399563318777	0.167582417582	0.236129032258	0.368478528557	0.551521788467
100	7032706	0.358527131783	0.169413919414	0.230099502488	0.348689374842	0.545866311972
100	7023589	0.378846153846	0.180402930403	0.244416873449	0.363222524564	0.552299564239
100	7062073	0.51461038961	0.290293040293	0.371194379391	0.474841029355	0.610060859503
100	7173730	0.378881987578	0.167582417582	0.232380952381	0.358137862957	0.548588204802
100	7027021	0.5	0.248168498168	0.331701346389	0.450770219568	0.592284202147
100	7102863	0.488636363636	0.196886446886	0.280678851175	0.424678087496	0.572040970451
100	7083000	0.344398340249	0.152014652015	0.210927573062	0.334700051148	0.538926828472
100	7193469	0.341603053435	0.163919413919	0.221534653465	0.338040516323	0.541476252372
100	7209613	0.431072210066	0.180402930403	0.254357650097	0.389335552674	0.559692195077
100	7098465	0.433526011561	0.206043956044	0.279329608939	0.400767610367	0.568523034112
100	6949706	0.443069306931	0.163919413919	0.239304812834	0.38877364307	0.555557453967
100	7028319	0.355691056911	0.160256410256	0.22095959596	0.343626638497	0.542930364246
100	6928315	0.454379562044	0.228021978022	0.303658536585	0.41994166299	0.578925328368
100	7020813	0.368686868687	0.1336996337	0.19623655914	0.339554917549	0.537513980192
