Source	Windowsize	Prot-prob	Precision	Recall	Fmeasure	Auc_pr	Auc_roc
CRF	1	0.042824	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.043151	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.043805	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.044459	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.045767	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.045767	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.046420	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.047074	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.048709	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.049363	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.050016	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.050670	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.053939	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.055247	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.060150	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.072246	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.083361	0.0	0.0	0.0	0.583333333333	0.5
CRF	1	0.093168	0.0	0.0	0.0	0.583333333333	0.5
CRF	10	0.013076	0.579842931937	0.571612903226	0.575698505523	0.611426842313	0.744387096774
CRF	10	0.014188	0.566686783343	0.605806451613	0.585594013096	0.619096079844	0.756580645161
CRF	10	0.015201	0.585887384177	0.530322580645	0.55672197765	0.597244767357	0.727677419355
CRF	10	0.016214	0.566798941799	0.552903225806	0.559764859569	0.597109148319	0.734193548387
CRF	10	0.017064	0.577540106952	0.557419354839	0.567301378858	0.604361451325	0.737935483871
CRF	10	0.018078	0.588803088803	0.590322580645	0.58956185567	0.62370261967	0.753935483871
CRF	10	0.019026	0.590789473684	0.57935483871	0.585016286645	0.620125919638	0.749548387097
CRF	10	0.020203	0.589175891759	0.618064516129	0.603274559194	0.635448160933	0.765935483871
CRF	10	0.021347	0.597315436242	0.574193548387	0.585526315789	0.621238363282	0.748387096774
CRF	10	0.022556	0.572748267898	0.64	0.60450944546	0.636374133949	0.772258064516
CRF	10	0.023766	0.577606635071	0.629032258065	0.602223594812	0.634233425062	0.768516129032
CRF	10	0.024877	0.576713159491	0.613548387097	0.59456080025	0.627335074369	0.761741935484
CRF	10	0.025989	0.585798816568	0.638709677419	0.611111111111	0.642361773875	0.774193548387
CRF	10	0.027166	0.58304696449	0.656774193548	0.617718446602	0.648512729557	0.781419354839
CRF	10	0.028375	0.558449424591	0.594838709677	0.576069978132	0.610407507995	0.750387096774
CRF	10	0.029389	0.556831922612	0.594193548387	0.574906367041	0.609329939801	0.749806451613
CRF	10	0.030402	0.562294001318	0.550322580645	0.556243886534	0.593781409261	0.732322580645
CRF	10	0.031089	0.560595802302	0.534193548387	0.547076313181	0.586211879646	0.725225806452
CRF	10	0.031873	0.535438596491	0.492258064516	0.512941176471	0.556160158461	0.703419354839
CRF	10	0.032560	0.56176673568	0.525161290323	0.542847615872	0.583033905474	0.721612903226
CRF	10	0.033344	0.560922855083	0.501935483871	0.529792305073	0.572934545821	0.711677419355
CRF	10	0.034161	0.576754385965	0.33935483871	0.42729488221	0.513108375778	0.644774193548
CRF	10	0.035077	0.581896551724	0.348387096774	0.43583535109	0.519442899518	0.649161290323
CRF	10	0.035763	0.590413943355	0.349677419355	0.439222042139	0.524239229742	0.650580645161
CRF	10	0.036417	0.562457798785	0.537419354839	0.549653579677	0.588486963908	0.726903225806
CRF	10	0.037169	0.601204819277	0.321935483871	0.419327731092	0.518075527918	0.639612903226
CRF	10	0.037692	0.553113553114	0.389677419355	0.457229371688	0.522255701288	0.66335483871
CRF	10	0.038280	0.5371809101	0.312258064516	0.394940840473	0.482031315265	0.629225806452
CRF	10	0.038804	0.53470437018	0.268387096774	0.357388316151	0.462513475413	0.610838709677
CRF	10	0.039359	0.534591194969	0.274193548387	0.362473347548	0.464876242646	0.613225806452
CRF	10	0.039784	0.563909774436	0.145161290323	0.230887634684	0.425772091519	0.56135483871
CRF	10	0.040242	0.529411764706	0.0638709677419	0.113989637306	0.374652118912	0.526258064516
CRF	10	0.040569	0.520710059172	0.0567741935484	0.102385107621	0.367344276898	0.523161290323
CRF	10	0.040961	0.48730964467	0.061935483871	0.109902690326	0.352794607281	0.524451612903
CRF	10	0.041386	0.525139664804	0.0606451612903	0.108733371891	0.37117198294	0.524838709677
CRF	10	0.041778	0.520295202952	0.0909677419355	0.154859967051	0.381384160616	0.537096774194
CRF	10	0.042236	0.5	0.0567741935484	0.101969872538	0.356989247312	0.522709677419
CRF	10	0.042759	0.405063291139	0.0206451612903	0.0392879066912	0.294467129441	0.507290322581
CRF	10	0.043249	0.589473684211	0.0361290322581	0.068085106383	0.393123938879	0.515548387097
CRF	10	0.043772	0.481099656357	0.0903225806452	0.152091254753	0.361517570114	0.535419354839
CRF	10	0.044361	0.417840375587	0.114838709677	0.18016194332	0.340102983492	0.541419354839
CRF	10	0.045015	0.435643564356	0.113548387097	0.180143295803	0.348466943469	0.542064516129
CRF	10	0.045734	0.518763796909	0.151612903226	0.234648027958	0.405887274799	0.561741935484
CRF	10	0.046453	0.539682539683	0.109677419355	0.182305630027	0.398873527906	0.545483870968
CRF	10	0.047205	0.577889447236	0.0741935483871	0.131503716409	0.403192035446	0.531677419355
CRF	10	0.048218	0.514388489209	0.0922580645161	0.156455142232	0.378968438153	0.537419354839
CRF	10	0.049297	0.573170731707	0.181935483871	0.276199804114	0.4457251508	0.577419354839
CRF	10	0.050736	0.542923433875	0.150967741935	0.23624432105	0.417698276077	0.562774193548
CRF	10	0.053383	0.502512562814	0.129032258065	0.205338809035	0.388353055601	0.551741935484
CRF	10	0.057077	0.530201342282	0.101935483871	0.170995670996	0.390907122754	0.541935483871
CRF	10	0.061687	0.426877470356	0.0696774193548	0.119800332779	0.325804326576	0.525483870968
CRF	11	0.013552	0.559697146185	0.62	0.58830731558	0.621515239759	0.761225806452
CRF	11	0.014592	0.57209926224	0.550322580645	0.560999671161	0.598684039722	0.734
CRF	11	0.015662	0.567258883249	0.576774193548	0.57197696737	0.607285355603	0.744387096774
CRF	11	0.016583	0.56696125085	0.538064516129	0.552135054618	0.591007507145	0.727935483871
CRF	11	0.017534	0.574426229508	0.565161290323	0.569756097561	0.606030319055	0.740709677419
CRF	11	0.018663	0.573048699133	0.554193548387	0.563463430633	0.600771661394	0.735806451613
CRF	11	0.019822	0.569070904645	0.60064516129	0.584431889517	0.61813760286	0.754838709677
CRF	11	0.020892	0.571856287425	0.616129032258	0.593167701863	0.625981907153	0.761935483871
CRF	11	0.022021	0.587290502793	0.542580645161	0.564050972502	0.603053853547	0.733161290323
CRF	11	0.023151	0.575974025974	0.572258064516	0.574110032362	0.609761206535	0.744
CRF	11	0.024280	0.577169481654	0.63935483871	0.606672788491	0.638315923623	0.772838709677
CRF	11	0.025320	0.590628853268	0.618064516129	0.604035308953	0.636174641688	0.766193548387
CRF	11	0.026539	0.574011299435	0.655483870968	0.612048192771	0.643457262621	0.779096774194
CRF	11	0.027638	0.55183763028	0.649032258065	0.596501630596	0.629682256	0.771806451613
CRF	11	0.028738	0.548518303312	0.609032258065	0.577193518802	0.61135592585	0.754387096774
CRF	11	0.029867	0.551872314303	0.58	0.565586662472	0.600936157152	0.742903225806
CRF	11	0.030788	0.548133595285	0.54	0.54403639909	0.582400130976	0.725483870968
CRF	11	0.031502	0.554395126197	0.410967741935	0.472026676547	0.531767455571	0.672451612903
CRF	11	0.032215	0.547439759036	0.469032258065	0.505211952745	0.552483320378	0.695741935484
CRF	11	0.032958	0.565556343019	0.514838709677	0.539007092199	0.580627633875	0.717870967742
CRF	11	0.033731	0.552799433026	0.503225806452	0.526849037487	0.569410469201	0.710903225806
CRF	11	0.034592	0.560621761658	0.349032258065	0.430218687873	0.509074321689	0.647161290323
CRF	11	0.035425	0.572717023675	0.327741935484	0.416906032007	0.506250984956	0.639419354839
