#GeneName	Tissuespecficity
METTL4	Expressed in all
METTL5	Expressed in all
METTL6	Expressed in all
METTL7A	Expressed in all
METTL7B	Tissue enhanced
METTL8	Expressed in all
METTL9	Expressed in all
MEX3A	Tissue enhanced
MEX3B	Tissue enhanced
MEX3C	Expressed in all
MFAP1	Expressed in all
MFAP2	Tissue enhanced
MFAP3	Expressed in all
MFAP3L	Tissue enhanced
MFAP4	Expressed in all
MFAP5	Tissue enhanced
MFF	Expressed in all
MFGE8	Expressed in all
MFHAS1	Expressed in all
MFI2	Tissue enriched
MFN1	Expressed in all
MFN2	Expressed in all
MFNG	Expressed in all
MFSD1	Expressed in all
MFSD10	Expressed in all
MFSD11	Expressed in all
MFSD12	Expressed in all
MFSD2A	Tissue enhanced
MFSD2B	Tissue enriched
MFSD3	Expressed in all
MFSD4	Tissue enhanced
MFSD5	Expressed in all
MFSD6	Expressed in all
MFSD6L	Tissue enhanced
MFSD8	Expressed in all
MFSD9	Expressed in all
MGA	Expressed in all
MGAM	Group enriched
MGARP	Tissue enriched
MGAT1	Expressed in all
MGAT4A	Expressed in all
MGAT4B	Expressed in all
MGAT4C	Tissue enhanced
MGAT5	Expressed in all
MGAT5B	Tissue enriched
MGC4294	Tissue enhanced
MGEA5	Expressed in all
MGLL	Expressed in all
MGME1	Expressed in all
MGMT	Expressed in all
MGP	Expressed in all
MGRN1	Expressed in all
MGST1	Expressed in all
MGST2	Expressed in all
MGST3	Expressed in all
MIA	Group enriched
MIA2	Tissue enhanced
MIA3	Expressed in all
MIB1	Expressed in all
MIB2	Expressed in all
MICA	Expressed in all
MICAL1	Expressed in all
MICAL2	Expressed in all
MICAL3	Expressed in all
MICALCL	Tissue enhanced
MICALL1	Expressed in all
MICALL2	Expressed in all
MICU1	Expressed in all
MICU2	Expressed in all
MID1IP1	Expressed in all
MIDN	Expressed in all
MIEF1	Expressed in all
MIEF2	Expressed in all
MIEN1	Expressed in all
MIER1	Expressed in all
MIER2	Expressed in all
MIER3	Expressed in all
MIF	Expressed in all
MIF4GD	Expressed in all
MIIP	Expressed in all
MINA	Expressed in all
MINK1	Expressed in all
MINOS1	Expressed in all
MINOS1-NBL1	Tissue enhanced
MINPP1	Expressed in all
MIOS	Expressed in all
MIOX	Tissue enriched
MIPEP	Expressed in all
MIS12	Expressed in all
MIS18A	Expressed in all
MIS18BP1	Expressed in all
MISP	Tissue enhanced
MITD1	Expressed in all
MITF	Expressed in all
MIXL1	Tissue enhanced
MKI67	Tissue enhanced
MKKS	Expressed in all
MKL1	Expressed in all
MKL2	Expressed in all
MKLN1	Expressed in all
MKNK1	Expressed in all
MKNK2	Expressed in all
MKRN1	Expressed in all
MKRN2	Expressed in all
MKRN3	Tissue enhanced
MKS1	Expressed in all
MKX	Tissue enhanced
MLANA	Tissue enriched
MLC1	Group enriched
MLEC	Expressed in all
MLF1	Group enriched
MLF2	Expressed in all
MLH1	Expressed in all
MLH3	Expressed in all
MLIP	Group enriched
MLKL	Expressed in all
MLLT1	Expressed in all
MLLT10	Expressed in all
MLLT11	Tissue enhanced
MLLT3	Expressed in all
MLLT4	Expressed in all
MLLT6	Expressed in all
MLN	Tissue enriched
MLPH	Tissue enhanced
MLST8	Expressed in all
MLTK	Expressed in all
MLX	Expressed in all
MLXIP	Expressed in all
MLXIPL	Tissue enhanced
MLYCD	Expressed in all
MMAA	Expressed in all
MMAB	Expressed in all
MMADHC	Expressed in all
MMD	Expressed in all
MMD2	Group enriched
MME	Tissue enhanced
MMEL1	Tissue enhanced
MMGT1	Expressed in all
MMP1	Tissue enhanced
MMP10	Tissue enriched
MMP11	Group enriched
MMP13	Tissue enhanced
MMP14	Expressed in all
MMP16	Tissue enhanced
MMP17	Tissue enhanced
MMP19	Tissue enhanced
MMP2	Tissue enhanced
MMP20	Tissue enriched
MMP24	Tissue enhanced
MMP25	Group enriched
MMP26	Tissue enriched
MMP27	Tissue enhanced
MMP3	Tissue enhanced
MMP7	Tissue enhanced
MMP8	Tissue enriched
MMP9	Tissue enhanced
MMS19	Expressed in all
MN1	Tissue enriched
MNAT1	Expressed in all
MNDA	Expressed in all
MNS1	Group enriched
MNT	Expressed in all
MNX1	Tissue enhanced
MOAP1	Expressed in all
MOB1A	Expressed in all
MOB1B	Expressed in all
MOB2	Expressed in all
MOB3A	Expressed in all
MOB3C	Expressed in all
MOB4	Expressed in all
MOBP	Tissue enriched
MOCOS	Tissue enhanced
MOCS2	Expressed in all
MOCS3	Expressed in all
MOG	Tissue enriched
MOGAT1	Tissue enriched
MOGAT2	Group enriched
MOGAT3	Tissue enhanced
MOGS	Expressed in all
MOK	Expressed in all
MON1A	Expressed in all
MON1B	Expressed in all
MON2	Expressed in all
MORC1	Tissue enriched
MORC2	Expressed in all
MORC3	Expressed in all
MORC4	Tissue enhanced
MORF4L1	Expressed in all
MORF4L2	Expressed in all
MORN1	Expressed in all
MORN2	Expressed in all
MORN3	Group enriched
MORN5	Tissue enhanced
MOSPD1	Expressed in all
MOSPD3	Expressed in all
MOV10	Expressed in all
MOV10L1	Tissue enriched
MOXD1	Tissue enhanced
MPC1	Expressed in all
MPC2	Expressed in all
MPDU1	Expressed in all
MPEG1	Expressed in all
MPG	Expressed in all
MPHOSPH10	Expressed in all
MPHOSPH6	Expressed in all
MPHOSPH8	Expressed in all
MPHOSPH9	Expressed in all
MPI	Expressed in all
MPND	Expressed in all
MPO	Tissue enriched
MPP1	Expressed in all
MPP2	Tissue enhanced
MPP5	Expressed in all
MPP6	Expressed in all
MPP7	Expressed in all
MPPE1	Expressed in all
MPPED1	Group enriched
MPPED2	Tissue enhanced
MPRIP	Expressed in all
MPST	Expressed in all
MPV17	Expressed in all
MPV17L2	Expressed in all
MPZL1	Expressed in all
MPZL2	Tissue enhanced
MRAP	Group enriched
MRAS	Expressed in all
MRC2	Expressed in all
MRE11A	Expressed in all
MREG	Tissue enhanced
MRFAP1	Expressed in all
MRFAP1L1	Expressed in all
MRGBP	Tissue enriched
MRGPRX3	Tissue enriched
MRI1	Expressed in all
MRM1	Expressed in all
MRO	Tissue enhanced
MROH1	Expressed in all
MROH2A	Tissue enhanced
MROH2B	Tissue enriched
MROH7	Tissue enriched
MROH7-TTC4	Tissue enriched
MROH8	Tissue enhanced
MROH9	Tissue enhanced
MRP63	Expressed in all
MRPL1	Expressed in all
MRPL10	Expressed in all
MRPL11	Expressed in all
MRPL12	Expressed in all
MRPL13	Expressed in all
MRPL14	Expressed in all
MRPL15	Expressed in all
MRPL16	Expressed in all
MRPL17	Expressed in all
MRPL18	Expressed in all
MRPL19	Expressed in all
MRPL2	Expressed in all
MRPL20	Expressed in all
MRPL21	Expressed in all
MRPL22	Expressed in all
MRPL23	Expressed in all
MRPL24	Expressed in all
MRPL27	Expressed in all
MRPL28	Expressed in all
MRPL3	Expressed in all
MRPL32	Expressed in all
MRPL33	Expressed in all
MRPL34	Expressed in all
MRPL35	Expressed in all
MRPL36	Expressed in all
MRPL37	Expressed in all
MRPL38	Expressed in all
MRPL39	Expressed in all
MRPL4	Expressed in all
MRPL40	Expressed in all
MRPL41	Expressed in all
MRPL42	Expressed in all
MRPL43	Expressed in all
MRPL44	Expressed in all
MRPL45	Expressed in all
MRPL46	Expressed in all
MRPL47	Expressed in all
MRPL48	Expressed in all
MRPL49	Expressed in all
MRPL50	Expressed in all
MRPL51	Expressed in all
MRPL52	Expressed in all
MRPL53	Expressed in all
MRPL54	Expressed in all
MRPL55	Expressed in all
MRPL9	Expressed in all
MRPS10	Expressed in all
MRPS11	Expressed in all
MRPS12	Expressed in all
MRPS14	Expressed in all
MRPS15	Expressed in all
MRPS16	Expressed in all
MRPS17	Expressed in all
MRPS18A	Expressed in all
MRPS18B	Expressed in all
MRPS18C	Expressed in all
MRPS2	Expressed in all
MRPS21	Expressed in all
MRPS22	Expressed in all
MRPS23	Expressed in all
MRPS24	Expressed in all
MRPS25	Expressed in all
MRPS26	Expressed in all
MRPS27	Expressed in all
MRPS28	Expressed in all
MRPS30	Expressed in all
MRPS31	Expressed in all
MRPS33	Expressed in all
MRPS34	Expressed in all
MRPS35	Expressed in all
MRPS36	Expressed in all
MRPS5	Expressed in all
MRPS6	Expressed in all
MRPS7	Expressed in all
MRPS9	Expressed in all
MRRF	Expressed in all
MRS2	Expressed in all
MRTO4	Expressed in all
MS4A1	Group enriched
MS4A10	Group enriched
MS4A12	Group enriched
MS4A13	Tissue enriched
MS4A14	Tissue enriched
MS4A15	Tissue enriched
MS4A18	Tissue enriched
MS4A3	Tissue enriched
MS4A4A	Expressed in all
MS4A5	Tissue enriched
MS4A6A	Expressed in all
MS4A6E	Tissue enriched
MS4A7	Tissue enhanced
MS4A8	Group enriched
MSANTD1	Tissue enhanced
MSANTD3	Expressed in all
MSANTD4	Expressed in all
MSH2	Expressed in all
MSH3	Expressed in all
MSH4	Tissue enriched
MSH5	Expressed in all
MSH5-SAPCD1	Tissue enhanced
MSH6	Expressed in all
MSI1	Tissue enhanced
MSI2	Expressed in all
MSL1	Expressed in all
MSL2	Expressed in all
MSL3	Expressed in all
MSLN	Tissue enriched
MSMB	Tissue enriched
MSMO1	Expressed in all
MSMP	Tissue enhanced
MSN	Expressed in all
MSR1	Tissue enhanced
MSRA	Expressed in all
MSRB1	Expressed in all
MSRB2	Expressed in all
MSRB3	Expressed in all
MSS51	Tissue enriched
MST1	Expressed in all
MST1R	Tissue enhanced
MSTN	Tissue enhanced
MSTO1	Expressed in all
MSX1	Tissue enhanced
MSX2	Tissue enhanced
MT-ATP6	Expressed in all
MT-ATP8	Expressed in all
MT-CO1	Expressed in all
MT-CO2	Expressed in all
MT-CO3	Expressed in all
MT-CYB	Expressed in all
MT-ND1	Expressed in all
MT-ND2	Expressed in all
MT-ND3	Expressed in all
MT-ND4	Expressed in all
MT-ND4L	Expressed in all
MT-ND5	Expressed in all
MT-ND6	Expressed in all
MT1A	Tissue enhanced
MT1B	Group enriched
MT1E	Expressed in all
MT1F	Tissue enhanced
MT1G	Tissue enhanced
MT1H	Tissue enhanced
MT1HL1	Tissue enhanced
MT1X	Expressed in all
MT2A	Expressed in all
MT3	Tissue enriched
MT4	Tissue enhanced
MTA1	Expressed in all
MTA2	Expressed in all
MTA3	Expressed in all
MTAP	Expressed in all
MTCH1	Expressed in all
MTCH2	Expressed in all
MTCP1	Expressed in all
MTDH	Expressed in all
MTERF	Expressed in all
MTERFD1	Expressed in all
MTERFD2	Expressed in all
MTERFD3	Expressed in all
MTF1	Expressed in all
MTF2	Expressed in all
MTFMT	Expressed in all
MTFP1	Expressed in all
MTFR1	Expressed in all
MTFR1L	Expressed in all
MTFR2	Tissue enhanced
MTG1	Expressed in all
MTG2	Expressed in all
MTHFD1	Expressed in all
MTHFD2	Expressed in all
MTHFD2L	Expressed in all
MTHFR	Expressed in all
MTHFS	Expressed in all
MTHFSD	Expressed in all
MTIF2	Expressed in all
MTIF3	Expressed in all
MTL5	Tissue enriched
MTM1	Expressed in all
MTMR1	Expressed in all
MTMR10	Expressed in all
MTMR11	Expressed in all
MTMR12	Expressed in all
MTMR14	Expressed in all
MTMR2	Expressed in all
MTMR3	Expressed in all
MTMR4	Expressed in all
MTMR6	Expressed in all
MTMR7	Tissue enhanced
MTMR9	Expressed in all
MTNR1A	Tissue enhanced
MTO1	Expressed in all
MTOR	Expressed in all
MTPAP	Expressed in all
MTPN	Expressed in all
MTR	Expressed in all
MTRF1	Expressed in all
MTRF1L	Expressed in all
MTRNR2L12	Tissue enhanced
MTRNR2L2	Tissue enhanced
MTRNR2L8	Tissue enhanced
MTRNR2L9	Tissue enhanced
MTRR	Expressed in all
MTSS1	Expressed in all
MTSS1L	Expressed in all
MTTP	Group enriched
MTURN	Expressed in all
MTUS2	Tissue enriched
MTX1	Expressed in all
MTX2	Expressed in all
MUC1	Tissue enhanced
MUC12	Group enriched
MUC13	Group enriched
MUC15	Tissue enhanced
MUC16	Tissue enhanced
MUC17	Group enriched
MUC19	Group enriched
MUC2	Group enriched
MUC21	Tissue enriched
MUC22	Tissue enriched
MUC3A	Group enriched
MUC3A	Tissue enhanced
MUC4	Tissue enhanced
MUC5AC	Tissue enriched
MUC5B	Tissue enriched
MUC6	Group enriched
MUC7	Tissue enriched
MUCL1	Tissue enriched
MUL1	Expressed in all
MUM1	Expressed in all
MUM1L1	Tissue enriched
MURC	Group enriched
MUS81	Expressed in all
MUSTN1	Tissue enriched
MUT	Expressed in all
MUTYH	Expressed in all
MVB12A	Expressed in all
MVB12B	Expressed in all
MVD	Expressed in all
MVK	Expressed in all
MVP	Expressed in all
MX1	Expressed in all
MX2	Expressed in all
MXD1	Expressed in all
MXD3	Tissue enhanced
MXD4	Expressed in all
MXI1	Expressed in all
MXRA7	Expressed in all
MXRA8	Expressed in all
MYADM	Expressed in all
MYADML2	Tissue enriched
MYB	Tissue enhanced
MYBBP1A	Expressed in all
MYBL1	Tissue enhanced
MYBL2	Tissue enhanced
MYBPC1	Tissue enriched
MYBPC2	Tissue enriched
MYBPC3	Tissue enriched
MYBPH	Group enriched
MYBPHL	Tissue enriched
MYC	Expressed in all
MYCBP	Expressed in all
MYCBP2	Expressed in all
MYCBPAP	Tissue enriched
MYCL	Tissue enhanced
MYCN	Tissue enhanced
MYCT1	Tissue enhanced
MYD88	Expressed in all
MYEOV	Tissue enhanced
MYEOV2	Expressed in all
MYF5	Tissue enhanced
MYF6	Tissue enriched
MYH1	Tissue enriched
MYH10	Expressed in all
MYH13	Tissue enhanced
MYH15	Tissue enhanced
MYH2	Tissue enriched
MYH3	Tissue enhanced
MYH4	Tissue enriched
MYH6	Tissue enriched
MYH7	Group enriched
MYH7B	Group enriched
MYH8	Tissue enhanced
MYH9	Expressed in all
MYL1	Tissue enriched
MYL12A	Expressed in all
MYL12B	Expressed in all
MYL2	Group enriched
MYL3	Group enriched
MYL4	Tissue enriched
MYL5	Expressed in all
MYL6	Expressed in all
MYL6B	Expressed in all
MYL7	Tissue enriched
MYL9	Expressed in all
MYLIP	Expressed in all
MYLK	Expressed in all
MYLK2	Tissue enriched
MYLK3	Group enriched
MYLK4	Group enriched
MYLPF	Tissue enriched
MYNN	Expressed in all
MYO10	Expressed in all
MYO15A	Tissue enhanced
MYO15B	Expressed in all
MYO16	Tissue enhanced
MYO18A	Group enriched
MYO18B	Group enriched
MYO19	Expressed in all
MYO1A	Group enriched
MYO1B	Tissue enhanced
MYO1C	Expressed in all
MYO1D	Expressed in all
MYO1E	Expressed in all
MYO1F	Expressed in all
MYO1G	Tissue enhanced
MYO1H	Tissue enhanced
MYO3A	Tissue enriched
MYO3B	Tissue enhanced
MYO5A	Expressed in all
MYO5C	Expressed in all
MYO7A	Tissue enhanced
MYO7B	Tissue enhanced
MYO9A	Expressed in all
MYO9B	Expressed in all
MYOC	Tissue enhanced
MYOD1	Tissue enriched
MYOF	Expressed in all
MYOG	Tissue enriched
MYOM1	Group enriched
MYOM2	Group enriched
MYOM3	Group enriched
MYOT	Tissue enriched
MYOZ1	Tissue enriched
MYOZ2	Tissue enriched
MYOZ3	Tissue enriched
MYPN	Group enriched
MYRF	Tissue enhanced
MYRFL	Group enriched
MYSM1	Expressed in all
MYT1	Group enriched
MYT1L	Tissue enriched
MYZAP	Tissue enriched
MZB1	Tissue enhanced
MZF1	Expressed in all
MZT1	Expressed in all
MZT2A	Expressed in all
MZT2B	Expressed in all
N4BP1	Expressed in all
N4BP2L1	Expressed in all
N4BP2L2	Expressed in all
N6AMT2	Expressed in all
NAA10	Expressed in all
NAA11	Group enriched
NAA15	Expressed in all
NAA16	Expressed in all
NAA20	Expressed in all
NAA25	Expressed in all
NAA30	Expressed in all
NAA35	Expressed in all
NAA38	Expressed in all
NAA40	Expressed in all
NAA50	Expressed in all
NAA60	Expressed in all
NAAA	Expressed in all
NAALAD2	Tissue enhanced
NAALADL1	Tissue enhanced
NAB1	Expressed in all
NAB2	Expressed in all
NABP1	Expressed in all
NABP2	Expressed in all
NACA	Expressed in all
NACA2	Tissue enriched
NACAD	Tissue enhanced
NACC1	Expressed in all
NACC2	Expressed in all
NADK	Expressed in all
NADK2	Tissue enriched
NADSYN1	Expressed in all
NAE1	Expressed in all
NAF1	Expressed in all
NAGA	Expressed in all
NAGK	Expressed in all
NAGLU	Expressed in all
NAGPA	Expressed in all
NAGS	Tissue enhanced
NAIF1	Expressed in all
NALCN	Tissue enhanced
NAMPT	Expressed in all
NAMPTL	Expressed in all
NANOG	Tissue enhanced
NANOS1	Tissue enhanced
NANOS2	Tissue enriched
NANOS3	Tissue enhanced
NANS	Expressed in all
NAP1L1	Expressed in all
NAP1L2	Tissue enhanced
NAP1L3	Tissue enhanced
NAP1L4	Expressed in all
NAP1L5	Tissue enhanced
NAPA	Expressed in all
NAPB	Tissue enriched
NAPEPLD	Expressed in all
NAPG	Expressed in all
NAPRT1	Expressed in all
NAPSA	Tissue enriched
NARF	Expressed in all
NARFL	Expressed in all
NARG2	Expressed in all
NARS	Expressed in all
NARS2	Expressed in all
NASP	Expressed in all
NAT10	Expressed in all
NAT16	Group enriched
NAT2	Group enriched
NAT6	Expressed in all
NAT8	Tissue enriched
NAT8L	Group enriched
NAT9	Expressed in all
NAV2	Expressed in all
NAV3	Tissue enhanced
NBAS	Expressed in all
NBEAL1	Expressed in all
NBEAL2	Expressed in all
NBL1	Expressed in all
NBN	Expressed in all
NBPF1	Expressed in all
NBPF10	Expressed in all
NBPF11	Expressed in all
NBPF12	Expressed in all
NBPF14	Expressed in all
NBPF15	Expressed in all
NBPF16	Expressed in all
NBPF24	Expressed in all
NBPF4	Tissue enhanced
NBPF6	Tissue enhanced
NBPF8	Expressed in all
NBPF9	Expressed in all
NBR1	Expressed in all
NCALD	Expressed in all
NCAM1	Tissue enhanced
NCAM2	Tissue enhanced
NCAN	Tissue enriched
NCAPD2	Expressed in all
NCAPD3	Tissue enriched
NCAPG2	Expressed in all
NCAPH	Tissue enhanced
NCAPH2	Expressed in all
NCBP1	Expressed in all
NCBP2	Expressed in all
NCBP2L	Tissue enhanced
NCCRP1	Group enriched
NCDN	Tissue enriched
NCF1	Tissue enhanced
NCF4	Tissue enhanced
NCK1	Expressed in all
NCK2	Expressed in all
NCKAP5	Tissue enhanced
NCKAP5L	Expressed in all
NCKIPSD	Expressed in all
NCL	Expressed in all
NCLN	Expressed in all
NCMAP	Tissue enhanced
NCOA1	Expressed in all
NCOA2	Expressed in all
NCOA3	Expressed in all
NCOA4	Expressed in all
NCOA5	Expressed in all
NCOA6	Expressed in all
NCOA7	Expressed in all
NCOR1	Expressed in all
NCOR2	Expressed in all
NCR1	Tissue enhanced
NCR3	Tissue enhanced
NCS1	Tissue enhanced
NCSTN	Expressed in all
NDC1	Expressed in all
NDE1	Expressed in all
NDEL1	Expressed in all
NDFIP1	Expressed in all
NDFIP2	Expressed in all
NDNF	Tissue enhanced
NDNL2	Expressed in all
NDP	Tissue enhanced
NDRG1	Expressed in all
NDRG2	Expressed in all
NDRG3	Expressed in all
NDRG4	Tissue enhanced
NDST1	Expressed in all
NDST2	Expressed in all
NDST3	Tissue enhanced
NDST4	Tissue enhanced
NDUFA1	Expressed in all
NDUFA10	Expressed in all
NDUFA11	Expressed in all
NDUFA12	Expressed in all
NDUFA13	Expressed in all
NDUFA2	Expressed in all
NDUFA3	Expressed in all
NDUFA4	Expressed in all
NDUFA4L2	Tissue enhanced
NDUFA5	Expressed in all
NDUFA6	Expressed in all
NDUFA7	Expressed in all
NDUFA7	Tissue enhanced
NDUFA8	Expressed in all
NDUFA9	Expressed in all
NDUFAB1	Expressed in all
NDUFAF1	Expressed in all
NDUFAF2	Expressed in all
NDUFAF3	Expressed in all
NDUFAF4	Expressed in all
NDUFAF5	Expressed in all
NDUFAF6	Expressed in all
NDUFAF7	Expressed in all
NDUFB1	Expressed in all
NDUFB10	Expressed in all
NDUFB11	Expressed in all
NDUFB2	Expressed in all
NDUFB3	Expressed in all
NDUFB4	Expressed in all
NDUFB5	Expressed in all
NDUFB6	Expressed in all
NDUFB7	Expressed in all
NDUFB8	Expressed in all
NDUFB9	Expressed in all
NDUFC1	Expressed in all
NDUFC2	Expressed in all
NDUFS1	Expressed in all
NDUFS2	Expressed in all
NDUFS3	Expressed in all
NDUFS4	Expressed in all
NDUFS5	Expressed in all
NDUFS6	Expressed in all
NDUFS7	Expressed in all
NDUFS8	Expressed in all
NDUFV1	Expressed in all
NDUFV2	Expressed in all
NDUFV3	Expressed in all
NEB	Tissue enriched
NEBL	Tissue enhanced
NECAB1	Tissue enriched
NECAB2	Group enriched
NECAB3	Expressed in all
NECAP1	Expressed in all
NECAP2	Expressed in all
NEDD1	Expressed in all
NEDD4L	Expressed in all
NEDD8	Expressed in all
NEDD8-MDP1	Tissue enhanced
NEDD9	Expressed in all
NEFH	Tissue enriched
NEFM	Tissue enhanced
NEIL1	Expressed in all
NEIL2	Expressed in all
NEK1	Expressed in all
NEK10	Tissue enhanced
NEK11	Tissue enhanced
NEK2	Tissue enriched
NEK3	Expressed in all
NEK4	Expressed in all
NEK5	Tissue enhanced
NEK6	Expressed in all
NEK7	Expressed in all
NEK9	Expressed in all
NELFA	Expressed in all
NELFB	Expressed in all
NELFCD	Expressed in all
NELFE	Expressed in all
NELL1	Tissue enhanced
NELL2	Tissue enhanced
NEMF	Expressed in all
NENF	Expressed in all
NEO1	Expressed in all
NES	Tissue enhanced
NET1	Expressed in all
NETO1	Tissue enriched
NETO2	Tissue enhanced
NEU1	Expressed in all
NEU3	Expressed in all
NEU4	Tissue enhanced
NEURL1	Tissue enhanced
NEURL4	Expressed in all
NEUROD1	Group enriched
NEUROD2	Tissue enriched
NEUROD4	Tissue enriched
NEUROD6	Tissue enriched
NEUROG3	Tissue enhanced
NEXN	Tissue enhanced
NF1	Expressed in all
NF2	Expressed in all
NFAM1	Tissue enhanced
NFAT5	Expressed in all
NFATC1	Expressed in all
NFATC2	Expressed in all
NFATC2IP	Expressed in all
NFATC3	Expressed in all
NFATC4	Expressed in all
NFE2	Tissue enriched
NFE2L1	Expressed in all
NFE2L2	Expressed in all
NFE2L3	Expressed in all
NFIA	Expressed in all
NFIC	Expressed in all
NFIL3	Expressed in all
NFIX	Expressed in all
NFKB1	Expressed in all
NFKB2	Expressed in all
NFKBIA	Expressed in all
NFKBIB	Expressed in all
NFKBID	Tissue enhanced
NFKBIL1	Expressed in all
NFKBIZ	Expressed in all
NFRKB	Expressed in all
NFS1	Expressed in all
NFU1	Expressed in all
NFX1	Expressed in all
NFXL1	Expressed in all
NFYA	Expressed in all
NFYB	Expressed in all
NFYC	Expressed in all
NGB	Group enriched
NGDN	Expressed in all
NGEF	Tissue enhanced
NGF	Tissue enhanced
NGFRAP1	Expressed in all
NGLY1	Expressed in all
NGRN	Expressed in all
NHEJ1	Expressed in all
NHLH2	Tissue enhanced
NHLRC2	Expressed in all
NHLRC3	Expressed in all
NHLRC4	Tissue enhanced
NHP2	Expressed in all
NHP2L1	Expressed in all
NICN1	Expressed in all
NID1	Expressed in all
NID2	Expressed in all
NIF3L1	Expressed in all
NIFK	Expressed in all
NIM1K	Tissue enriched
NIN	Expressed in all
NINJ1	Expressed in all
NINJ2	Tissue enhanced
NIP7	Expressed in all
NIPA1	Expressed in all
NIPA2	Expressed in all
NIPAL1	Tissue enhanced
NIPAL2	Expressed in all
NIPAL3	Expressed in all
NIPAL4	Tissue enhanced
NIPBL	Expressed in all
NIPSNAP1	Expressed in all
NIPSNAP3A	Expressed in all
NISCH	Expressed in all
NIT1	Expressed in all
NIT2	Expressed in all
NKAIN1	Group enriched
NKAIN2	Tissue enriched
NKAIN3	Group enriched
NKAIN4	Group enriched
NKAP	Expressed in all
NKAPL	Tissue enriched
NKD2	Tissue enhanced
NKG2-E	Tissue enhanced
NKG7	Tissue enhanced
NKIRAS1	Expressed in all
NKIRAS2	Expressed in all
NKPD1	Tissue enriched
NKRF	Expressed in all
NKTR	Expressed in all
NKX2-1	Group enriched
NKX2-2	Tissue enhanced
NKX2-3	Tissue enhanced
NKX2-5	Group enriched
NKX2-8	Tissue enhanced
NKX3-1	Tissue enriched
NKX3-2	Tissue enhanced
NKX6-1	Tissue enhanced
NKX6-2	Group enriched
NKX6-3	Group enriched
NLE1	Expressed in all
NLGN1	Tissue enhanced
NLGN3	Tissue enhanced
NLGN4X	Tissue enhanced
NLK	Expressed in all
NLN	Expressed in all
NLRC4	Tissue enhanced
NLRC5	Expressed in all
NLRP1	Expressed in all
NLRP10	Tissue enriched
NLRP11	Tissue enhanced
NLRP12	Tissue enhanced
NLRP3	Tissue enhanced
NLRP4	Group enriched
NLRP6	Group enriched
NLRP7	Tissue enhanced
NLRP9	Tissue enhanced
NLRX1	Expressed in all
NMB	Tissue enhanced
NMBR	Tissue enhanced
NMD3	Expressed in all
NME1	Expressed in all
NME1-NME2	Expressed in all
NME2	Expressed in all
NME3	Expressed in all
NME4	Expressed in all
NME5	Tissue enhanced
NME6	Expressed in all
NME7	Expressed in all
NME8	Group enriched
NME9	Tissue enriched
NMI	Expressed in all
NMNAT1	Expressed in all
NMNAT2	Tissue enhanced
NMRAL1	Expressed in all
NMRK1	Expressed in all
NMRK2	Group enriched
NMT1	Expressed in all
NMT2	Expressed in all
NMU	Tissue enhanced
NMUR2	Tissue enhanced
NNAT	Tissue enhanced
NNMT	Expressed in all
NNT	Expressed in all
NOA1	Expressed in all
NOB1	Expressed in all
NOC2L	Expressed in all
NOC3L	Expressed in all
NOC4L	Expressed in all
NODAL	Tissue enhanced
NOG	Tissue enhanced
NOL10	Expressed in all
NOL11	Expressed in all
NOL12	Expressed in all
NOL4	Tissue enhanced
NOL6	Expressed in all
NOL7	Expressed in all
NOL8	Expressed in all
NOL9	Expressed in all
NOLC1	Expressed in all
NOM1	Expressed in all
NOMO1	Expressed in all
NOMO2	Expressed in all
NOMO3	Expressed in all
NONO	Expressed in all
NOP10	Expressed in all
NOP14	Expressed in all
NOP16	Expressed in all
NOP2	Expressed in all
NOP56	Expressed in all
NOP58	Expressed in all
NOP9	Expressed in all
NOS1	Tissue enriched
NOS1AP	Tissue enhanced
NOS2	Group enriched
NOS3	Tissue enriched
NOSIP	Expressed in all
NOTCH1	Expressed in all
NOTCH2	Expressed in all
NOTCH2NL	Expressed in all
NOTUM	Tissue enriched
NOV	Tissue enriched
NOVA1	Tissue enhanced
NOVA2	Tissue enhanced
NOX1	Group enriched
NOX4	Tissue enriched
NOX5	Group enriched
NOXO1	Tissue enhanced
NOXRED1	Tissue enriched
NPAP1	Tissue enriched
NPAS1	Tissue enhanced
NPAS3	Tissue enhanced
NPAS4	Tissue enhanced
NPAT	Expressed in all
NPC1	Expressed in all
NPC1L1	Group enriched
NPC2	Expressed in all
NPDC1	Expressed in all
NPEPL1	Expressed in all
NPEPPS	Expressed in all
NPFFR1	Tissue enhanced
NPFFR2	Tissue enriched
NPHP1	Tissue enhanced
NPHP3	Expressed in all
NPHS1	Tissue enhanced
NPHS2	Tissue enriched
NPIPA1	Expressed in all
NPIPA2	Expressed in all
NPIPA3	Expressed in all
NPIPA5	Expressed in all
NPIPA7	Expressed in all
NPIPA8	Expressed in all
NPIPB11	Expressed in all
NPIPB15	Tissue enhanced
NPIPB3	Expressed in all
NPIPB4	Expressed in all
NPIPB5	Expressed in all
NPIPB6	Tissue enriched
NPIPB7	Tissue enriched
NPIPB8	Tissue enriched
NPIPB9	Tissue enriched
NPL	Expressed in all
NPLOC4	Expressed in all
NPM1	Expressed in all
NPM3	Expressed in all
NPNT	Tissue enhanced
NPPA	Tissue enriched
NPPB	Tissue enriched
NPPC	Tissue enhanced
NPR1	Tissue enhanced
NPR3	Tissue enhanced
NPRL2	Expressed in all
NPRL3	Expressed in all
NPTN	Expressed in all
NPTX1	Tissue enriched
