#GeneName	Tissuespecficity
AKAP17A	Expressed in all
AKAP2	Expressed in all
AKAP3	Tissue enriched
AKAP4	Tissue enriched
AKAP5	Tissue enhanced
AKAP6	Tissue enhanced
AKAP7	Expressed in all
AKAP8	Expressed in all
AKAP8L	Expressed in all
AKAP9	Expressed in all
AKIP1	Expressed in all
AKIRIN1	Expressed in all
AKIRIN2	Expressed in all
AKNA	Expressed in all
AKNAD1	Tissue enhanced
AKR1A1	Expressed in all
AKR1B1	Tissue enriched
AKR1B10	Tissue enhanced
AKR1B15	Tissue enhanced
AKR1C1	Expressed in all
AKR1C2	Tissue enhanced
AKR1C3	Expressed in all
AKR1C4	Tissue enriched
AKR1CL1	Tissue enriched
AKR1D1	Tissue enriched
AKR1E2	Tissue enriched
AKR7A2	Expressed in all
AKR7A3	Tissue enhanced
AKT1	Expressed in all
AKT1S1	Expressed in all
AKT2	Expressed in all
AKT3	Expressed in all
AKTIP	Expressed in all
AL031663.2	Tissue enhanced
AL031666.2	Tissue enriched
AL109927.1	Group enriched
AL118506.1	Tissue enriched
AL133481.1	Tissue enriched
AL136218.1	Expressed in all
AL138847.1	Group enriched
AL158147.2	Group enriched
AL162407.1	Tissue enhanced
AL162431.1	Group enriched
AL353354.2	Tissue enhanced
AL353791.1	Tissue enhanced
AL354898.1	Tissue enhanced
AL358113.1	Tissue enhanced
AL358333.1	Tissue enhanced
AL359195.1	Tissue enriched
AL359693.1	Tissue enhanced
AL359736.1	Tissue enhanced
AL445665.1	Tissue enriched
AL450307.1	Tissue enhanced
AL513478.1	Tissue enriched
AL583828.1	Tissue enhanced
AL589739.1	Tissue enhanced
AL589765.1	Tissue enhanced
AL590235.1	Tissue enriched
AL590560.1	Tissue enriched
AL590714.1	Tissue enriched
AL591684.1	Tissue enhanced
AL603965.1	Tissue enhanced
AL626787.1	Tissue enhanced
AL627309.1	Expressed in all
AL645728.1	Tissue enhanced
ALAD	Expressed in all
ALAS1	Expressed in all
ALAS2	Tissue enriched
ALB	Tissue enriched
ALDH16A1	Expressed in all
ALDH18A1	Expressed in all
ALDH1A1	Expressed in all
ALDH1A2	Tissue enhanced
ALDH1A3	Tissue enhanced
ALDH1B1	Expressed in all
ALDH1L1	Tissue enhanced
ALDH1L2	Tissue enhanced
ALDH2	Expressed in all
ALDH3A1	Tissue enhanced
ALDH3A2	Expressed in all
ALDH3B2	Tissue enhanced
ALDH4A1	Expressed in all
ALDH5A1	Expressed in all
ALDH6A1	Group enriched
ALDH7A1	Expressed in all
ALDH8A1	Group enriched
ALDH9A1	Expressed in all
ALDOA	Expressed in all
ALDOB	Group enriched
ALDOC	Expressed in all
ALG1	Expressed in all
ALG11	Expressed in all
ALG12	Expressed in all
ALG13	Expressed in all
ALG14	Expressed in all
ALG1L	Tissue enhanced
ALG2	Expressed in all
ALG3	Expressed in all
ALG5	Expressed in all
ALG6	Expressed in all
ALG8	Expressed in all
ALG9	Expressed in all
ALG9	Tissue enhanced
ALK	Tissue enhanced
ALKBH1	Expressed in all
ALKBH2	Expressed in all
ALKBH3	Expressed in all
ALKBH4	Expressed in all
ALKBH5	Expressed in all
ALKBH6	Expressed in all
ALKBH7	Expressed in all
ALKBH8	Expressed in all
ALLC	Tissue enriched
ALMS1	Tissue enhanced
ALOX12	Group enriched
ALOX12B	Group enriched
ALOX15	Tissue enhanced
ALOX15B	Tissue enhanced
ALOX5	Tissue enhanced
ALOX5AP	Expressed in all
ALOXE3	Tissue enriched
ALPI	Group enriched
ALPK1	Expressed in all
ALPK2	Tissue enhanced
ALPK3	Group enriched
ALPL	Tissue enhanced
ALPP	Tissue enriched
ALPPL2	Tissue enhanced
ALS2	Expressed in all
ALS2CL	Tissue enhanced
ALS2CR11	Tissue enriched
ALS2CR12	Tissue enhanced
ALX1	Tissue enhanced
ALX3	Tissue enhanced
ALX4	Tissue enhanced
ALYREF	Expressed in all
AMACR	Expressed in all
AMBP	Tissue enriched
AMBRA1	Expressed in all
AMD1	Expressed in all
AMDHD1	Tissue enhanced
AMDHD2	Expressed in all
AMER2	Tissue enriched
AMER3	Tissue enriched
AMFR	Expressed in all
AMH	Group enriched
AMHR2	Tissue enhanced
AMMECR1L	Expressed in all
AMN	Group enriched
AMN1	Expressed in all
AMOTL1	Expressed in all
AMPD1	Tissue enriched
AMPD2	Expressed in all
AMPD3	Expressed in all
AMPH	Tissue enriched
AMT	Expressed in all
AMTN	Group enriched
AMY1A	Group enriched
AMY1B	Group enriched
AMY1C	Group enriched
AMY2A	Tissue enriched
AMY2B	Tissue enriched
AMZ1	Tissue enhanced
AMZ2	Expressed in all
ANAPC1	Expressed in all
ANAPC10	Expressed in all
ANAPC11	Expressed in all
ANAPC13	Expressed in all
ANAPC15	Expressed in all
ANAPC16	Expressed in all
ANAPC2	Expressed in all
ANAPC4	Expressed in all
ANAPC5	Expressed in all
ANAPC7	Expressed in all
ANG	Tissue enriched
ANGEL1	Expressed in all
ANGEL2	Expressed in all
ANGPT4	Tissue enhanced
ANGPTL3	Tissue enriched
ANGPTL4	Tissue enhanced
ANGPTL5	Tissue enriched
ANGPTL6	Tissue enhanced
ANGPTL7	Tissue enhanced
ANHX	Tissue enriched
ANK1	Tissue enhanced
ANKAR	Expressed in all
ANKDD1B	Tissue enhanced
ANKEF1	Tissue enhanced
ANKFN1	Tissue enhanced
ANKFY1	Expressed in all
ANKH	Expressed in all
ANKHD1	Expressed in all
ANKHD1-EIF4EBP3	Expressed in all
ANKIB1	Expressed in all
ANKK1	Tissue enhanced
ANKLE1	Tissue enriched
ANKLE2	Expressed in all
ANKMY1	Expressed in all
ANKMY2	Expressed in all
ANKRA2	Expressed in all
ANKRD1	Tissue enriched
ANKRD10	Expressed in all
ANKRD11	Expressed in all
ANKRD12	Expressed in all
ANKRD13A	Expressed in all
ANKRD13C	Expressed in all
ANKRD13D	Expressed in all
ANKRD16	Expressed in all
ANKRD17	Expressed in all
ANKRD18A	Group enriched
ANKRD18A	Tissue enhanced
ANKRD18B	Tissue enhanced
ANKRD2	Group enriched
ANKRD20A1	Tissue enriched
ANKRD20A2	Tissue enhanced
ANKRD20A3	Tissue enhanced
ANKRD20A4	Tissue enhanced
ANKRD22	Tissue enhanced
ANKRD23	Tissue enriched
ANKRD24	Tissue enhanced
ANKRD26	Expressed in all
ANKRD27	Expressed in all
ANKRD28	Expressed in all
ANKRD29	Tissue enhanced
ANKRD30A	Tissue enhanced
ANKRD30B	Tissue enriched
ANKRD30BL	Tissue enriched
ANKRD31	Tissue enriched
ANKRD32	Expressed in all
ANKRD33	Tissue enriched
ANKRD34A	Tissue enriched
ANKRD34C	Tissue enhanced
ANKRD35	Tissue enhanced
ANKRD37	Expressed in all
ANKRD39	Expressed in all
ANKRD40	Expressed in all
ANKRD42	Tissue enhanced
ANKRD44	Expressed in all
ANKRD45	Tissue enhanced
ANKRD46	Expressed in all
ANKRD49	Expressed in all
ANKRD52	Expressed in all
ANKRD53	Tissue enhanced
ANKRD54	Expressed in all
ANKRD55	Tissue enhanced
ANKRD6	Expressed in all
ANKRD60	Tissue enriched
ANKRD61	Group enriched
ANKRD62	Tissue enhanced
ANKRD65	Tissue enhanced
ANKRD66	Tissue enriched
ANKRD7	Tissue enriched
ANKRD9	Tissue enhanced
ANKS1A	Expressed in all
ANKS1B	Tissue enhanced
ANKS3	Expressed in all
ANKS4B	Tissue enhanced
ANKUB1	Tissue enriched
ANKZF1	Expressed in all
ANLN	Tissue enhanced
ANO1	Tissue enhanced
ANO10	Expressed in all
ANO2	Tissue enhanced
ANO3	Tissue enhanced
ANO4	Tissue enhanced
ANO5	Tissue enhanced
ANO6	Expressed in all
ANO7	Tissue enhanced
ANO9	Tissue enhanced
ANP32A	Expressed in all
ANP32B	Expressed in all
ANP32E	Expressed in all
ANPEP	Group enriched
ANTXR2	Expressed in all
ANTXRL	Tissue enriched
ANXA1	Expressed in all
ANXA10	Tissue enriched
ANXA11	Expressed in all
ANXA13	Tissue enhanced
ANXA2	Expressed in all
ANXA2R	Tissue enhanced
ANXA3	Expressed in all
ANXA4	Expressed in all
ANXA5	Expressed in all
ANXA6	Expressed in all
ANXA7	Expressed in all
ANXA8	Tissue enhanced
ANXA8L1	Tissue enhanced
ANXA8L2	Tissue enhanced
AOC1	Group enriched
AOC2	Group enriched
AOC3	Tissue enhanced
AOX1	Tissue enhanced
AP000322.53	Group enriched
AP000349.1	Tissue enhanced
AP000350.10	Tissue enhanced
AP000783.1	Tissue enriched
AP001350.1	Tissue enhanced
AP001579.1	Tissue enhanced
AP001816.1	Expressed in all
AP003733.1	Tissue enhanced
AP1AR	Expressed in all
AP1B1	Expressed in all
AP1G1	Expressed in all
AP1G2	Expressed in all
AP1M1	Expressed in all
AP1S1	Expressed in all
AP1S2	Expressed in all
AP2A1	Expressed in all
AP2A2	Expressed in all
AP2B1	Expressed in all
AP2M1	Expressed in all
AP2S1	Expressed in all
AP3B1	Expressed in all
AP3B2	Tissue enhanced
