ALDH4	OMIM:239510
ALDH4A1	OMIM:239510
ALDH5A1	DOID:0005419
ALDH5A1	OMIM:271980
ALDH5A1	DOID:0009970
ALDH6	OMIM:615113
ALDH6A1	OMIM:236795
ALDH6A1	OMIM:614105
ALDH7A1	OMIM:107323
ALDH7A1	OMIM:266100
ALDOA	OMIM:611881
ALDOB	OMIM:229600
ALG1	DOID:0050570
ALG10	DOID:0002843
ALG10B	OMIM:115080
ALG11	DOID:0050570
ALG12	DOID:0050570
ALG13	OMIM:300884
ALG13	DOID:0050561
ALG14	OMIM:616227
ALG2	DOID:0050570
ALG2	OMIM:616228
ALG3	DOID:0050570
ALG6	DOID:0050570
ALG8	DOID:0050570
ALG9	DOID:0050570
ALK	DOID:0000769
ALK1	DOID:0001270
ALK2	DOID:0013374
ALK3	DOID:0050787
ALK3	OMIM:610069
ALK5	OMIM:132800
ALK5	DOID:0050466
ALK6	DOID:0050581
ALK6	OMIM:609441
ALL	DOID:0008552
ALL	DOID:0009952
ALL3	DOID:0009952
ALMS1	DOID:0005419
ALMS1	DOID:0050473
ALMS1	DOID:0014791
ALMS1	DOID:0001935
ALO17	DOID:0013099
ALOX12	DOID:0001612
ALOX12	DOID:0003748
ALOX12B	DOID:0001699
ALOX12B	OMIM:242300
ALOX15	DOID:0005419
ALOX5	DOID:0002841
ALOX5AP	DOID:0006713
ALOXE3	OMIM:242300
ALOXE3	OMIM:606545
ALPL	DOID:0014213
ALPL	DOID:0014213
ALPL	DOID:0014213
ALPS1A	DOID:0006688
ALPS1B	DOID:0001324
ALPS1B	DOID:0006688
ALPS2	DOID:0006688
ALPS2	DOID:0060060
ALPS2	DOID:0010534
ALPS2B	DOID:0001612
ALPS2B	DOID:0000684
ALPS2B	DOID:0001324
ALPS2B	DOID:0006688
ALPS3	DOID:0012177
ALPS4	DOID:0001520
ALPS4	DOID:0009256
ALPS4	OMIM:137550
ALPS4	OMIM:162900
ALPS4	OMIM:163200
ALPS4	DOID:0003962
ALPS4	OMIM:249400
ALPS4	DOID:0003490
ALPS4	DOID:0006688
ALPS5	OMIM:140300
ALPS5	DOID:0009074
ALPS5	DOID:0009744
ALPS5	DOID:0010608
ALPS5	OMIM:616100
ALR	DOID:0000630
ALR	OMIM:613076
ALRH	DOID:0002841
ALRH	DOID:0004481
ALS	OMIM:615961
ALS1	DOID:0060193
ALS1	DOID:0000332
ALS10	DOID:0060201
ALS10	DOID:0000332
ALS11	OMIM:216340
ALS11	DOID:0050541
ALS11	DOID:0060202
ALS11	DOID:0000332
ALS11	OMIM:612691
ALS12	DOID:0001070
ALS12	OMIM:606657
ALS12	DOID:0060203
ALS12	DOID:0000332
ALS14	DOID:0050881
ALS14	DOID:0060205
ALS15	DOID:0060206
ALS16	DOID:0060207
ALS17	DOID:0009255
ALS17	DOID:0060208
ALS18	DOID:0060209
ALS19	DOID:0060210
ALS2	DOID:0060194
ALS2	DOID:0000332
ALS2	OMIM:606353
ALS2	OMIM:607225
ALS20	DOID:0050881
ALS20	DOID:0060211
ALS21	DOID:0060212
ALS22	OMIM:616208
ALS2CR4	DOID:0050777
ALS4	DOID:0060196
ALS4	DOID:0000332
ALS4	DOID:0001441
ALS6	DOID:0000332
ALS6	DOID:0060198
ALS6	DOID:0004990
ALS8	OMIM:182980
ALS8	DOID:0050752
ALS9	DOID:0060200
ALS9	DOID:0000332
ALSFTD	OMIM:105550
ALSJ	DOID:0060194
ALSJ	DOID:0000332
ALSJ	OMIM:606353
ALSJ	OMIM:607225
ALSPDC	OMIM:105500
ALSS	DOID:0050473
ALT2	OMIM:616281
ALX1	DOID:0012849
ALX1	OMIM:613456
ALX3	OMIM:136760
ALX4	DOID:0002340
ALX4	OMIM:136760
ALX4	DOID:0060285
ALX4	DOID:0060285
ALX4	OMIM:613451
ALX4	DOID:0002340
ALXDRD	DOID:0004252
AMACR	DOID:0010283
AMACR	DOID:0050674
AMACR	OMIM:614307
AMACRD	DOID:0050674
AMACRD	OMIM:614307
AMB11	DOID:0000635
AMBN	OMIM:616270
AMCBX1	DOID:0014793
AMCBX1	OMIM:300301
AMCBX1	OMIM:300584
AMCBX1	OMIM:300636
AMCBX1	OMIM:300640
AMCBX1	DOID:0012305
AMCBX2	OMIM:300645
AMCBX2	DOID:0003265
AMCD1	DOID:0050646
AMCD1	DOID:0050646
AMCD1	DOID:0003191
AMCD2B	DOID:0050646
AMCX1	OMIM:301830
AMDM	DOID:0080050
AMDM	OMIM:615923
AME	OMIM:218030
AMELX	DOID:0002187
AMER1	DOID:0000684
AMER1	OMIM:300373
AMG	DOID:0002187
AMGX	DOID:0002187
AMH	DOID:0050791
AMH	DOID:0005426
AMHR	DOID:0050791
AMHR2	DOID:0050791
AML1	OMIM:601399
AML1	DOID:0009119
AML3	DOID:0013994
AML3	OMIM:156510
AMN	DOID:0013382
AMN	DOID:0010588
AMOXAD	OMIM:204750
AMOXAD	DOID:0050539
AMPD1	DOID:0012849
AMPD1	OMIM:615511
AMPD2	DOID:0002476
AMPD2	DOID:0060278
AMPD3	OMIM:612874
AMPHL	DOID:0014717
AMRF	DOID:0000891
AMRS	OMIM:615553
AMSH	OMIM:614261
AMT	OMIM:182940
AMT	DOID:0012849
AMT	DOID:0009268
AMZ1	DOID:0005419
AN	DOID:0012271
AN2	DOID:0012271
AN2	DOID:0012270
AN2	DOID:0011975
AN2	OMIM:136520
AN2	OMIM:148190
AN2	OMIM:165550
AN2	OMIM:206700
AN2	OMIM:604229
ANALBA	OMIM:615999
ANALBA	OMIM:616000
ANAPC5	DOID:0005419
ANCO1	DOID:0014780
ANCR	DOID:0001932
ANDD	OMIM:246700
ANE1	OMIM:608033
