ID	NAME
2	C16C10.10
2	F09E5.15
2	F57H12.1
2	Y119D3B.17
2	Y24D9A.8
2	ZK632.4
2	Y119D3B.17
2	K04D7.1
2	B0496.7
2	NA
3	F01G4.2
3	Y104H12BR.1
3	Y22D7AL.10
3	Y40G12A.2
3	W02D3.7
3	NA
3	NA
3	F46H6.1
3	F43G9.9
3	W02D3.7
3	C29E4.7
3	F43G9.9
3	T05D4.1
3	F43G9.9
3	W02D3.7
3	W02D3.7
3	F53A2.7
3	R05H10.5
3	F25H5.4
3	R09E12.3
3	F21C3.3
3	K12C11.2
4	F10E7.5
4	ZK945.3
4	B0511.6
4	F55F8.2
4	R13A5.12
4	R05H10.2
4	T07A9.9
4	F56D2.6
4	W07E6.1
4	K12H4.3
4	C18A3.3
4	K01C8.9
4	JC8.2
4	C24H12.4
4	F55F8.5
4	NA
4	W09C5.1
4	C37H5.5
4	C15H11.9
4	C07E3.2
4	Y54E10A.10
4	T26G10.1
5	C37H5.6
5	K08F9.2
5	NA
5	Y18D10A.19
5	F40A3.3
5	K02F2.2
5	F13D12.2
5	F10D11.1
5	T01C8.5
5	ZK652.3
5	Y54G11A.6
5	C38C3.5
5	C15F1.7
5	F20H11.3
5	F56D12.1
5	F01G10.1
5	C38C3.5
5	R05H10.5
5	C38C3.5
5	Y75B12B.5
5	B0496.7
6	C01G8.9
6	ZK1128.5
6	Y71H2AM.17
6	F01G4.1
6	ZK1128.5
6	C28H8.1
6	R07E5.3
6	C28H8.1
6	ZK1128.5
6	C28H8.1
6	C01G8.9
6	F01G4.1
6	C28H8.9
6	ZK616.4
6	Y113G7B.23
6	ZK973.9
6	Y113G7B.23
6	NA
6	C28H8.9
7	C15F1.6
7	F57C12.5
7	F53F10.4
7	NA
7	NA
7	ZK632.6
7	VW06B3R.1
7	T20G5.1
7	C56G2.6
7	ZK632.6
7	B0365.3
7	T22D1.4
7	C41C4.8
7	Y69A2AR.18
7	T05E11.3
7	C39F7.4
7	Y56A3A.21
7	MTCE.31
7	T09A5.11
8	Y57G11C.10
8	R07G3.1
8	W03C9.3
8	T23H2.5
8	F53G12.1
8	F53F10.4
8	F26H9.6
8	F26H9.6
8	C27B7.8
8	C39F7.4
8	F26H9.6
8	B0365.3
8	D1037.4
8	Y37E3.9
8	D1037.4
8	C39F7.4
8	T25G12.4
8	F53G12.1
8	Y57G11C.10
9	C15F1.6
9	W10D9.5
9	F53F10.4
9	Y38F2AR.2
9	M01D7.2
9	C39F7.4
9	F22B5.10
9	C56G2.6
9	ZK632.6
9	B0365.3
9	T04G9.5
9	T22D1.4
9	C41C4.8
9	T05E11.3
9	C39F7.4
9	Y56A3A.21
9	C26D10.2
10	Y54G2A.18
10	R05G6.7
10	C41G7.9
10	F43E2.7
10	W02B12.15
10	C18E9.6
10	W09C5.8
10	Y47G6A.10
10	W02B12.15
10	NA
10	ZK973.10
10	R05G6.7
10	Y37E3.9
10	Y54G2A.18
10	R05G6.7
10	T24H7.1
11	NA
11	Y113G7B.18
11	NA
11	R12B2.5
11	K08F8.6
11	Y104H12D.1
11	NA
11	NA
11	NA
11	NA
11	NA
11	Y62F5A.1
11	NA
11	NA
11	C38C10.5
11	F47A4.2
12	F01G4.2
12	C01G8.5
12	VF13D12L.1
12	T05D4.1
12	Y40G12A.2
12	Y104H12BR.1
12	Y104H12BR.1
12	C01G8.5
12	F46H6.1
12	T25B9.9
12	C01G8.5
12	F42G9.2
12	F53A2.7
12	Y38A10A.5
12	C07A12.4
12	F46H6.1
13	JC8.7
13	C16A3.10
13	F10G8.3
13	T01C8.5
13	NA
13	Y47D9A.1
13	C33H5.7
13	C32F10.8
13	C16C10.10
13	R11D1.11
13	R10E12.1
13	C42C1.5
13	NA
13	Y54F10AR.1
13	F20D6.4
13	B0252.4
14	NA
14	F01G4.2
14	C01G8.5
14	VF13D12L.1
14	Y104H12BR.1
14	W03D2.4
14	C01G8.5
14	C01G8.5
14	ZK632.6
14	T05E11.3
14	F42G9.2
14	H06O01.1
14	Y38A10A.5
14	C07A12.4
15	F01G4.6
15	C15F1.6
15	F57C12.5
15	T25G12.5
15	NA
15	NA
15	ZK632.6
15	VW06B3R.1
15	T20G5.1
15	C56G2.6
15	ZK632.6
15	T22D1.4
15	F43G9.1
15	T05E11.3
16	T05C3.5
16	Y47H9C.5
16	F39B2.10
16	F38A5.13
16	F26D10.3
16	C30C11.4
16	F26D10.3
16	F54D5.8
16	F39B2.10
16	B0035.14
16	F54D5.8
16	C30C11.4
16	C30C11.4
17	Y74C10AR.1
17	C17G10.9
17	R08D7.3
17	B0511.10
17	Y54E2A.11
17	C27D11.1
17	F22B5.2
17	C41D11.2
17	K08F11.3
17	D2013.7
17	T16G1.11
17	T23D8.4
17	T23D8.4
18	F58F12.1
18	F43E2.7
18	C34E10.6
18	F35G12.10
18	NA
18	H28O16.1
18	NA
18	Y69A2AR.18
18	K07A12.3
18	NA
18	NA
18	F27C1.7
19	F31D4.1
19	NA
19	C04G2.6
19	F59C6.4
19	NA
19	F37C12.13
19	Y73B6BL.3
19	NA
